Sample	Temp	Count
0	2.500000	0
1	2.497487	0
2	2.494975	0
3	2.492462	0
4	2.489950	0
5	2.487437	0
6	2.484925	0
7	2.482412	0
8	2.479899	0
9	2.477387	0
10	2.474874	0
11	2.472362	0
12	2.469849	0
13	2.467337	0
14	2.464824	0
15	2.462312	0
16	2.459799	0
17	2.457286	0
18	2.454774	0
19	2.452261	0
20	2.449749	0
21	2.447236	0
22	2.444724	0
23	2.442211	0
24	2.439698	0
25	2.437186	0
26	2.434673	0
27	2.432161	0
28	2.429648	0
29	2.427136	0
30	2.424623	0
31	2.422111	0
32	2.419598	0
33	2.417085	0
34	2.414573	0
35	2.412060	0
36	2.409548	0
37	2.407035	0
38	2.404523	0
39	2.402010	0
40	2.399497	0
41	2.396985	0
42	2.394472	0
43	2.391960	0
44	2.389447	0
45	2.386935	0
46	2.384422	0
47	2.381910	0
48	2.379397	0
49	2.376884	0
50	2.374372	0
51	2.371859	0
52	2.369347	0
53	2.366834	0
54	2.364322	0
55	2.361809	0
56	2.359296	0
57	2.356784	0
58	2.354271	0
59	2.351759	0
60	2.349246	0
61	2.346734	0
62	2.344221	0
63	2.341709	0
64	2.339196	0
65	2.336683	0
66	2.334171	0
67	2.331658	0
68	2.329146	0
69	2.326633	0
70	2.324121	0
71	2.321608	0
72	2.319095	0
73	2.316583	0
74	2.314070	0
75	2.311558	0
76	2.309045	0
77	2.306533	0
78	2.304020	0
79	2.301508	0
80	2.298995	0
81	2.296482	0
82	2.293970	0
83	2.291457	0
84	2.288945	0
85	2.286432	0
86	2.283920	0
87	2.281407	1
88	2.278894	0
89	2.276382	0
90	2.273869	0
91	2.271357	0
92	2.268844	0
93	2.266332	0
94	2.263819	0
95	2.261307	0
96	2.258794	0
97	2.256281	0
98	2.253769	0
99	2.251256	0
100	2.248744	0
101	2.246231	0
102	2.243719	0
103	2.241206	0
104	2.238693	0
105	2.236181	0
106	2.233668	0
107	2.231156	0
108	2.228643	0
109	2.226131	0
110	2.223618	0
111	2.221106	0
112	2.218593	0
113	2.216080	0
114	2.213568	0
115	2.211055	0
116	2.208543	0
117	2.206030	0
118	2.203518	0
119	2.201005	0
120	2.198492	0
121	2.195980	0
122	2.193467	0
123	2.190955	0
124	2.188442	0
125	2.185930	0
126	2.183417	0
127	2.180905	0
128	2.178392	0
129	2.175879	0
130	2.173367	0
131	2.170854	0
132	2.168342	0
133	2.165829	0
134	2.163317	0
135	2.160804	0
136	2.158291	0
137	2.155779	0
138	2.153266	0
139	2.150754	0
140	2.148241	0
141	2.145729	0
142	2.143216	0
143	2.140704	0
144	2.138191	0
145	2.135678	0
146	2.133166	0
147	2.130653	0
148	2.128141	0
149	2.125628	0
150	2.123116	0
151	2.120603	0
152	2.118090	0
153	2.115578	0
154	2.113065	0
155	2.110553	0
156	2.108040	0
157	2.105528	0
158	2.103015	0
159	2.100503	0
160	2.097990	0
161	2.095477	0
162	2.092965	0
163	2.090452	0
164	2.087940	0
165	2.085427	0
166	2.082915	0
167	2.080402	0
168	2.077889	0
169	2.075377	0
170	2.072864	0
171	2.070352	0
172	2.067839	0
173	2.065327	0
174	2.062814	0
175	2.060302	0
176	2.057789	0
177	2.055276	0
178	2.052764	0
179	2.050251	0
180	2.047739	0
181	2.045226	0
182	2.042714	0
183	2.040201	0
184	2.037688	0
185	2.035176	0
186	2.032663	0
187	2.030151	0
188	2.027638	0
189	2.025126	0
190	2.022613	0
191	2.020101	0
192	2.017588	0
193	2.015075	0
194	2.012563	0
195	2.010050	0
196	2.007538	0
197	2.005025	0
198	2.002513	0
199	2.000000	0
