Temp	Magnetization	Heat capacity	Energy
2.500000	0.049099	5.483446E-005	-1.106154
2.497487	0.047030	5.616931E-005	-1.108809
2.494975	0.055928	5.676765E-005	-1.110266
2.492462	0.048959	5.217286E-005	-1.112929
2.489950	0.050768	4.879306E-005	-1.113773
2.487437	0.046136	5.621292E-005	-1.115625
2.484925	0.047221	5.454946E-005	-1.119266
2.482412	0.055430	5.379360E-005	-1.122239
2.479899	0.060032	5.385959E-005	-1.124038
2.477387	0.055578	5.440815E-005	-1.126358
2.474874	0.054242	5.628954E-005	-1.128776
2.472362	0.065984	5.670441E-005	-1.132087
2.469849	0.064837	5.552352E-005	-1.133292
2.467337	0.053315	5.693169E-005	-1.134908
2.464824	0.047953	5.798903E-005	-1.136424
2.462312	0.062332	5.873709E-005	-1.139424
2.459799	0.056974	5.533866E-005	-1.141412
2.457286	0.061562	5.711851E-005	-1.146345
2.454774	0.056147	5.983795E-005	-1.146176
2.452261	0.057366	5.753908E-005	-1.148710
2.449749	0.057757	5.464544E-005	-1.151681
2.447236	0.064064	5.972066E-005	-1.152595
2.444724	0.070024	6.337043E-005	-1.159400
2.442211	0.064804	6.320639E-005	-1.159914
2.439698	0.052561	5.995068E-005	-1.162666
2.437186	0.059731	6.098883E-005	-1.164348
2.434673	0.057302	6.682277E-005	-1.165508
2.432161	0.048558	6.100030E-005	-1.170740
2.429648	0.061726	5.472578E-005	-1.173298
2.427136	0.048506	5.903565E-005	-1.171270
2.424623	0.073422	6.395955E-005	-1.178213
2.422111	0.078109	6.179363E-005	-1.182303
2.419598	0.054961	6.424891E-005	-1.181756
2.417085	0.099444	6.283951E-005	-1.187822
2.414573	0.073089	6.986795E-005	-1.188544
2.412060	0.080344	6.655693E-005	-1.191579
2.409548	0.103126	6.802002E-005	-1.193558
2.407035	0.080063	6.248711E-005	-1.194548
2.404523	0.057376	6.431868E-005	-1.198788
2.402010	0.082728	6.514415E-005	-1.201222
2.399497	0.087804	6.492415E-005	-1.206578
2.396985	0.072047	6.541987E-005	-1.206594
2.394472	0.073427	6.343471E-005	-1.207880
2.391960	0.073511	6.986274E-005	-1.213109
2.389447	0.073757	7.773163E-005	-1.215454
2.386935	0.076898	6.755305E-005	-1.216100
2.384422	0.128580	7.258885E-005	-1.226409
2.381910	0.065767	7.072012E-005	-1.226037
2.379397	0.070145	8.262329E-005	-1.228709
2.376884	0.083717	6.778636E-005	-1.228429
2.374372	0.102731	6.789338E-005	-1.233800
2.371859	0.115178	7.750177E-005	-1.238135
2.369347	0.106507	8.002578E-005	-1.243629
2.366834	0.069145	7.136927E-005	-1.239363
2.364322	0.080723	7.661113E-005	-1.244321
2.361809	0.100173	7.188980E-005	-1.247157
2.359296	0.102620	8.404983E-005	-1.252460
2.356784	0.093026	7.444639E-005	-1.259405
2.354271	0.106754	7.345092E-005	-1.258607
2.351759	0.096974	7.895004E-005	-1.261689
2.349246	0.109574	8.853367E-005	-1.265085
2.346734	0.108729	8.304761E-005	-1.269260
2.344221	0.136422	9.531323E-005	-1.271632
2.341709	0.148865	8.068472E-005	-1.277053
2.339196	0.083120	7.936709E-005	-1.278201
2.336683	0.180290	9.564607E-005	-1.287129
2.334171	0.159499	9.285124E-005	-1.284893
2.331658	0.136182	8.882235E-005	-1.286725
2.329146	0.119181	8.126790E-005	-1.292219
2.326633	0.147492	9.798346E-005	-1.302637
2.324121	0.185855	9.984073E-005	-1.301974
2.321608	0.097231	7.587749E-005	-1.304761
2.319095	0.091118	8.539270E-005	-1.305749
2.316583	0.104242	8.495917E-005	-1.308937
2.314070	0.102268	8.589683E-005	-1.312359
