Sample	Beta	Count
199	0.410000	0
198	0.410201	0
197	0.410402	0
196	0.410603	0
195	0.410804	0
194	0.411005	0
193	0.411206	0
192	0.411407	0
191	0.411608	0
190	0.411809	0
189	0.412010	0
188	0.412211	0
187	0.412412	0
186	0.412613	0
185	0.412814	0
184	0.413015	0
183	0.413216	0
182	0.413417	0
181	0.413618	0
180	0.413819	0
179	0.414020	0
178	0.414221	0
177	0.414422	0
176	0.414623	1
175	0.414824	0
174	0.415025	0
173	0.415226	0
172	0.415427	0
171	0.415628	0
170	0.415829	0
169	0.416030	0
168	0.416231	0
167	0.416432	0
166	0.416633	0
165	0.416834	0
164	0.417035	0
163	0.417236	0
162	0.417437	2
161	0.417638	0
160	0.417839	0
159	0.418040	0
158	0.418241	0
157	0.418442	1
156	0.418643	0
155	0.418844	0
154	0.419045	0
153	0.419246	0
152	0.419447	1
151	0.419648	1
150	0.419849	1
149	0.420050	0
148	0.420251	1
147	0.420452	1
146	0.420653	1
145	0.420854	1
144	0.421055	0
143	0.421256	4
142	0.421457	0
141	0.421658	2
140	0.421859	4
139	0.422060	3
138	0.422261	2
137	0.422462	3
136	0.422663	9
135	0.422864	6
134	0.423065	5
133	0.423266	8
132	0.423467	6
131	0.423668	8
130	0.423869	5
129	0.424070	9
128	0.424271	11
127	0.424472	10
126	0.424673	11
125	0.424874	10
124	0.425075	8
123	0.425276	17
122	0.425477	21
121	0.425678	19
120	0.425879	21
119	0.426080	20
118	0.426281	25
117	0.426482	20
116	0.426683	19
115	0.426884	26
114	0.427085	30
113	0.427286	39
112	0.427487	34
111	0.427688	39
110	0.427889	33
109	0.428090	49
108	0.428291	35
107	0.428492	35
106	0.428693	55
105	0.428894	62
104	0.429095	41
103	0.429296	54
102	0.429497	57
101	0.429698	54
100	0.429899	60
99	0.430101	77
98	0.430302	62
97	0.430503	65
96	0.430704	76
95	0.430905	76
94	0.431106	70
93	0.431307	76
92	0.431508	83
91	0.431709	83
90	0.431910	83
89	0.432111	88
88	0.432312	70
87	0.432513	86
86	0.432714	92
85	0.432915	95
84	0.433116	93
83	0.433317	108
82	0.433518	108
81	0.433719	126
80	0.433920	108
79	0.434121	119
78	0.434322	110
77	0.434523	123
76	0.434724	108
75	0.434925	126
74	0.435126	127
73	0.435327	117
72	0.435528	119
71	0.435729	114
70	0.435930	114
69	0.436131	133
68	0.436332	136
67	0.436533	132
66	0.436734	122
65	0.436935	114
64	0.437136	114
63	0.437337	138
62	0.437538	122
61	0.437739	126
60	0.437940	134
59	0.438141	115
58	0.438342	123
57	0.438543	118
56	0.438744	138
55	0.438945	125
54	0.439146	96
53	0.439347	106
52	0.439548	132
51	0.439749	122
50	0.439950	108
49	0.440151	108
48	0.440352	113
47	0.440553	113
46	0.440754	118
45	0.440955	120
44	0.441156	97
43	0.441357	112
42	0.441558	122
41	0.441759	111
40	0.441960	88
39	0.442161	100
38	0.442362	108
37	0.442563	103
36	0.442764	87
35	0.442965	92
34	0.443166	84
33	0.443367	90
32	0.443568	59
31	0.443769	83
30	0.443970	86
29	0.444171	79
28	0.444372	75
27	0.444573	79
26	0.444774	77
25	0.444975	73
24	0.445176	67
23	0.445377	66
22	0.445578	69
21	0.445779	54
20	0.445980	61
19	0.446181	73
18	0.446382	59
17	0.446583	52
16	0.446784	61
15	0.446985	61
14	0.447186	50
13	0.447387	55
12	0.447588	51
11	0.447789	46
10	0.447990	43
9	0.448191	39
8	0.448392	40
7	0.448593	61
6	0.448794	42
5	0.448995	36
4	0.449196	47
3	0.449397	34
2	0.449598	47
1	0.449799	21
0	0.450000	32
