Sample	Beta	Count
199	-0.000000	0
198	0.001256	0
197	0.002513	0
196	0.003769	0
195	0.005025	0
194	0.006281	0
193	0.007538	0
192	0.008794	0
191	0.010050	0
190	0.011307	0
189	0.012563	0
188	0.013819	0
187	0.015075	0
186	0.016332	0
185	0.017588	0
184	0.018844	0
183	0.020101	0
182	0.021357	0
181	0.022613	0
180	0.023869	0
179	0.025126	0
178	0.026382	0
177	0.027638	0
176	0.028894	0
175	0.030151	0
174	0.031407	0
173	0.032663	0
172	0.033920	0
171	0.035176	0
170	0.036432	0
169	0.037688	0
168	0.038945	0
167	0.040201	0
166	0.041457	0
165	0.042714	0
164	0.043970	0
163	0.045226	0
162	0.046482	0
161	0.047739	0
160	0.048995	0
159	0.050251	0
158	0.051508	0
157	0.052764	0
156	0.054020	0
155	0.055276	0
154	0.056533	0
153	0.057789	0
152	0.059045	0
151	0.060302	0
150	0.061558	0
149	0.062814	0
148	0.064070	0
147	0.065327	0
146	0.066583	0
145	0.067839	0
144	0.069095	0
143	0.070352	0
142	0.071608	0
141	0.072864	0
140	0.074121	0
139	0.075377	0
138	0.076633	0
137	0.077889	0
136	0.079146	0
135	0.080402	0
134	0.081658	0
133	0.082915	0
132	0.084171	0
131	0.085427	0
130	0.086683	0
129	0.087940	0
128	0.089196	0
127	0.090452	0
126	0.091709	0
125	0.092965	0
124	0.094221	0
123	0.095477	0
122	0.096734	0
121	0.097990	0
120	0.099246	0
119	0.100503	0
118	0.101759	0
117	0.103015	0
116	0.104271	0
115	0.105528	0
114	0.106784	0
113	0.108040	0
112	0.109296	0
111	0.110553	0
110	0.111809	0
109	0.113065	0
108	0.114322	0
107	0.115578	0
106	0.116834	0
105	0.118090	0
104	0.119347	0
103	0.120603	0
102	0.121859	0
101	0.123116	0
100	0.124372	0
99	0.125628	0
98	0.126884	0
97	0.128141	0
96	0.129397	0
95	0.130653	0
94	0.131910	0
93	0.133166	0
92	0.134422	0
91	0.135678	0
90	0.136935	0
89	0.138191	0
88	0.139447	0
87	0.140704	0
86	0.141960	0
85	0.143216	0
84	0.144472	0
83	0.145729	0
82	0.146985	0
81	0.148241	0
80	0.149497	0
79	0.150754	0
78	0.152010	0
77	0.153266	1
76	0.154523	0
75	0.155779	0
74	0.157035	0
73	0.158291	0
72	0.159548	0
71	0.160804	0
70	0.162060	0
69	0.163317	0
68	0.164573	0
67	0.165829	0
66	0.167085	0
65	0.168342	0
64	0.169598	0
63	0.170854	0
62	0.172111	0
61	0.173367	0
60	0.174623	0
59	0.175879	0
58	0.177136	0
57	0.178392	0
56	0.179648	0
55	0.180905	0
54	0.182161	0
53	0.183417	0
52	0.184673	0
51	0.185930	0
50	0.187186	0
49	0.188442	0
48	0.189698	0
47	0.190955	0
46	0.192211	0
45	0.193467	0
44	0.194724	0
43	0.195980	0
42	0.197236	0
41	0.198492	0
40	0.199749	0
39	0.201005	0
38	0.202261	0
37	0.203518	0
36	0.204774	0
35	0.206030	0
34	0.207286	0
33	0.208543	0
32	0.209799	0
31	0.211055	0
30	0.212312	0
29	0.213568	0
28	0.214824	0
27	0.216080	0
26	0.217337	0
25	0.218593	0
24	0.219849	0
23	0.221106	0
22	0.222362	0
21	0.223618	0
20	0.224874	0
19	0.226131	0
18	0.227387	0
17	0.228643	0
16	0.229899	0
15	0.231156	0
14	0.232412	0
13	0.233668	0
12	0.234925	0
11	0.236181	0
10	0.237437	0
9	0.238693	0
8	0.239950	0
7	0.241206	0
6	0.242462	0
5	0.243719	0
4	0.244975	0
3	0.246231	0
2	0.247487	0
1	0.248744	0
0	0.250000	0
