Beta	Magnetization	Heat capacity	Energy	Energy^2
0.410000	0.439367	0.004267	-1.184187	1.427682
0.410201	0.472750	0.004872	-1.199188	1.467006
0.410402	0.444180	0.004763	-1.193062	1.451678
0.410603	0.460813	0.004735	-1.208922	1.489576
0.410804	0.489156	0.005234	-1.220047	1.519531
0.411005	0.495727	0.004996	-1.216328	1.509028
0.411206	0.516633	0.005269	-1.235000	1.556386
0.411407	0.448680	0.004818	-1.202016	1.473304
0.411608	0.465734	0.004657	-1.214141	1.501627
0.411809	0.458305	0.005025	-1.212281	1.499259
0.412010	0.487031	0.005516	-1.224469	1.531820
0.412211	0.519312	0.005730	-1.243484	1.579975
0.412412	0.443547	0.004681	-1.200672	1.469137
0.412613	0.464469	0.004835	-1.211125	1.495222
0.412814	0.506875	0.005016	-1.230953	1.544679
0.413015	0.420414	0.004535	-1.187891	1.437668
0.413216	0.472844	0.005466	-1.219313	1.518732
0.413417	0.466797	0.004587	-1.213547	1.499534
0.413618	0.456438	0.005071	-1.203953	1.479145
0.413819	0.486023	0.005054	-1.222734	1.524593
0.414020	0.443031	0.005389	-1.209000	1.493121
0.414221	0.521820	0.005496	-1.251625	1.598594
0.414422	0.501266	0.005601	-1.233516	1.554175
0.414623	0.532687	0.005619	-1.258859	1.617415
0.414824	0.495742	0.005582	-1.242000	1.575000
0.415025	0.526289	0.005042	-1.249219	1.589818
0.415226	0.493875	0.005540	-1.233375	1.553348
0.415427	0.490703	0.005202	-1.221344	1.521822
0.415628	0.520273	0.005239	-1.251391	1.596306
0.415829	0.516734	0.005629	-1.262266	1.625865
0.416030	0.483039	0.005503	-1.229656	1.543850
0.416231	0.527961	0.005636	-1.263187	1.628172
0.416432	0.494000	0.005745	-1.243641	1.579769
0.416633	0.531969	0.005443	-1.267937	1.639022
0.416834	0.516570	0.005431	-1.254594	1.605260
0.417035	0.487070	0.005484	-1.241344	1.572464
0.417236	0.512383	0.005986	-1.261406	1.625530
0.417437	0.496898	0.005395	-1.242406	1.574531
0.417638	0.473406	0.005947	-1.231766	1.551344
0.417839	0.570187	0.005806	-1.296141	1.713234
0.418040	0.445055	0.005737	-1.213016	1.504235
0.418241	0.527992	0.005557	-1.265453	1.633139
0.418442	0.510891	0.005943	-1.258438	1.617607
0.418643	0.505469	0.005758	-1.261906	1.625259
0.418844	0.525086	0.005181	-1.263703	1.626478
0.419045	0.512180	0.005815	-1.258781	1.617648
0.419246	0.489992	0.005724	-1.247359	1.588471
0.419447	0.507313	0.005631	-1.263266	1.627844
0.419648	0.542828	0.006999	-1.282703	1.685070
0.419849	0.581234	0.006080	-1.311219	1.753788
0.420050	0.576891	0.005921	-1.303016	1.731407
0.420251	0.566734	0.006033	-1.287719	1.692380
0.420452	0.595938	0.005363	-1.308141	1.741568
0.420653	0.448391	0.005902	-1.236594	1.562519
0.420854	0.586781	0.005863	-1.315625	1.763972
0.421055	0.549570	0.006161	-1.288156	1.694100
0.421256	0.564742	0.005096	-1.288594	1.689193
0.421457	0.602875	0.006108	-1.327703	1.797181
0.421658	0.576375	0.005507	-1.292656	1.701933
0.421859	0.562930	0.005830	-1.291250	1.700083
0.422060	0.569398	0.005615	-1.295969	1.711054
0.422261	0.592875	0.005997	-1.319250	1.774052
0.422462	0.613789	0.005926	-1.326781	1.793551
0.422663	0.518891	0.005998	-1.273641	1.655738
0.422864	0.542937	0.006019	-1.294031	1.708175
0.423065	0.581227	0.005833	-1.315406	1.762884
0.423266	0.616695	0.005421	-1.326734	1.790484
0.423467	0.533906	0.005670	-1.287031	1.688067
0.423668	0.592484	0.005787	-1.319094	1.772247
0.423869	0.586117	0.005933	-1.323391	1.784388
0.424070	0.591156	0.006303	-1.332313	1.810103
0.424271	0.549375	0.006466	-1.305500	1.740249
0.424472	0.611844	0.005024	-1.331172	1.799903
0.424673	0.625344	0.005476	-1.344172	1.837162
0.424874	0.568648	0.006274	-1.320719	1.779056
0.425075	0.631609	0.005356	-1.355922	1.868164
0.425276	0.571086	0.005673	-1.318047	1.768612
0.425477	0.637727	0.005309	-1.354672	1.864465
0.425678	0.637680	0.005758	-1.363203	1.890098
0.425879	0.597867	0.005106	-1.325203	1.784314
0.426080	0.570047	0.005790	-1.315781	1.763173
0.426281	0.595711	0.005959	-1.329781	1.801110
0.426482	0.613742	0.005325	-1.345953	1.840869
0.426683	0.606641	0.006667	-1.349781	1.858531
0.426884	0.571719	0.005819	-1.318125	1.769384
0.427085	0.637758	0.005669	-1.358188	1.875750
0.427286	0.596859	0.006624	-1.342609	1.838882
0.427487	0.641391	0.005876	-1.362469	1.888476
0.427688	0.624008	0.005611	-1.356313	1.870257
0.427889	0.609602	0.005272	-1.341219	1.827661
0.428090	0.645016	0.005500	-1.363984	1.890466
0.428291	0.650055	0.005874	-1.370562	1.910463
0.428492	0.600133	0.006330	-1.339172	1.827857
0.428693	0.586547	0.005777	-1.338203	1.822222
0.428894	0.634078	0.006085	-1.365297	1.897115
0.429095	0.592414	0.005425	-1.335125	1.812025
0.429296	0.567367	0.006000	-1.327047	1.793608
0.429497	0.622016	0.006157	-1.365266	1.897329
0.429698	0.630914	0.006594	-1.371109	1.915656
0.429899	0.670773	0.005870	-1.386438	1.953970
0.430101	0.549992	0.006275	-1.311797	1.754732
0.430302	0.581969	0.006208	-1.343219	1.837764
0.430503	0.675773	0.005838	-1.397688	1.985030
0.430704	0.617672	0.005965	-1.353859	1.865092
0.430905	0.593547	0.006466	-1.352547	1.864204
0.431106	0.597930	0.006921	-1.352547	1.866620
0.431307	0.602469	0.006222	-1.345328	1.843356
0.431508	0.679758	0.005533	-1.388313	1.957129
0.431709	0.596648	0.006966	-1.355750	1.875434
0.431910	0.640758	0.005909	-1.380172	1.936551
0.432111	0.614945	0.006432	-1.365047	1.897798
0.432312	0.586086	0.007168	-1.349063	1.858324
0.432513	0.623820	0.006327	-1.365047	1.897177
0.432714	0.636172	0.006013	-1.380937	1.939104
0.432915	0.643945	0.005498	-1.373328	1.915368
0.433116	0.651008	0.005873	-1.391969	1.968883
0.433317	0.647930	0.006874	-1.388516	1.964587
0.433518	0.655977	0.006004	-1.385547	1.951686
0.433719	0.645734	0.006286	-1.404953	2.007311
0.433920	0.648352	0.006260	-1.394734	1.978531
0.434121	0.681086	0.005614	-1.410438	2.019122
0.434322	0.661484	0.005834	-1.402187	1.997055
0.434523	0.685047	0.005800	-1.419453	2.045564
0.434724	0.654414	0.006532	-1.397297	1.987002
0.434925	0.695688	0.006141	-1.422578	2.056191
0.435126	0.651336	0.006462	-1.392391	1.972884
0.435327	0.690305	0.005291	-1.416859	2.035409
0.435528	0.718664	0.005334	-1.433172	2.082100
0.435729	0.658336	0.005618	-1.396641	1.980194
0.435930	0.714195	0.005448	-1.436844	2.093188
0.436131	0.612625	0.007224	-1.388203	1.965087
0.436332	0.693961	0.006147	-1.436234	2.095057
0.436533	0.635844	0.006232	-1.392516	1.971802
0.436734	0.653523	0.006302	-1.409000	2.018321
0.436935	0.659594	0.006023	-1.397531	1.984640
0.437136	0.696602	0.005872	-1.437453	2.097002
0.437337	0.703984	0.005529	-1.436297	2.091858
0.437538	0.669547	0.006603	-1.412250	2.028941
0.437739	0.721023	0.006176	-1.449859	2.134321
0.437940	0.730516	0.004992	-1.441688	2.104489
0.438141	0.672359	0.006379	-1.425500	2.065277
0.438342	0.645242	0.006296	-1.401969	1.998283
