Beta	Magnetization	Heat capacity	Energy	Energy^2
0.400000	0.598906	0.086151	-1.209563	1.570730
0.411111	0.659156	0.096088	-1.309438	1.828332
0.422222	0.716938	0.091570	-1.387625	2.028234
0.433333	0.753125	0.091196	-1.447250	2.191664
0.444444	0.802312	0.082245	-1.528375	2.419203
0.455556	0.824906	0.081049	-1.573750	2.554797
0.466667	0.845781	0.084171	-1.617063	2.692191
0.477778	0.886000	0.060868	-1.690000	2.909430
0.488889	0.889188	0.065077	-1.699625	2.943180
0.500000	0.907375	0.057604	-1.736500	3.061516
