Sample	Beta	Count
0	0.420000	1
1	0.420612	0
2	0.421224	2
3	0.421837	2
4	0.422449	2
5	0.423061	6
6	0.423673	8
7	0.424286	8
8	0.424898	18
9	0.425510	16
10	0.426122	20
11	0.426735	29
12	0.427347	35
13	0.427959	37
14	0.428571	48
15	0.429184	47
16	0.429796	45
17	0.430408	48
18	0.431020	41
19	0.431633	41
20	0.432245	43
21	0.432857	56
22	0.433469	46
23	0.434082	50
24	0.434694	55
25	0.435306	39
26	0.435918	35
27	0.436531	40
28	0.437143	33
29	0.437755	23
30	0.438367	25
31	0.438980	17
32	0.439592	21
33	0.440204	19
34	0.440816	9
35	0.441429	6
36	0.442041	10
37	0.442653	10
38	0.443265	1
39	0.443878	3
40	0.444490	2
41	0.445102	1
42	0.445714	2
43	0.446327	0
44	0.446939	0
45	0.447551	0
46	0.448163	0
47	0.448776	0
48	0.449388	0
49	0.450000	0
