Temp	Magnetization	Heat capacity	Energy
2.500000	0.046640	5.197434E-005	-1.105600
2.497487	0.048020	5.312887E-005	-1.108391
2.494975	0.048627	5.213445E-005	-1.110879
2.492462	0.048257	5.413776E-005	-1.112526
2.489950	0.052672	5.377687E-005	-1.114392
2.487437	0.051413	5.409250E-005	-1.117044
2.484925	0.055134	5.505736E-005	-1.118901
2.482412	0.055886	5.546285E-005	-1.121557
2.479899	0.053454	5.525760E-005	-1.123362
2.477387	0.050524	5.503003E-005	-1.126273
2.474874	0.058092	5.658134E-005	-1.128324
2.472362	0.055707	5.587817E-005	-1.130828
2.469849	0.056651	5.693976E-005	-1.132744
2.467337	0.056812	5.712053E-005	-1.135460
2.464824	0.056613	5.576581E-005	-1.137109
2.462312	0.056446	5.819812E-005	-1.139975
2.459799	0.055637	5.849115E-005	-1.141914
2.457286	0.055334	5.754605E-005	-1.144500
2.454774	0.057895	5.767561E-005	-1.146580
2.452261	0.059188	5.811720E-005	-1.149642
2.449749	0.057995	5.796073E-005	-1.152218
2.447236	0.056235	5.797734E-005	-1.154319
2.444724	0.063148	6.137268E-005	-1.157666
2.442211	0.061561	6.167383E-005	-1.159758
2.439698	0.059142	5.940840E-005	-1.161385
2.437186	0.061300	6.077582E-005	-1.164498
2.434673	0.063549	6.188028E-005	-1.166780
2.432161	0.071071	6.359037E-005	-1.169783
2.429648	0.070136	6.305383E-005	-1.172391
2.427136	0.067751	6.115913E-005	-1.174402
2.424623	0.067016	6.255719E-005	-1.177197
2.422111	0.072707	6.468368E-005	-1.179618
2.419598	0.073148	6.493350E-005	-1.182856
2.417085	0.069387	6.405738E-005	-1.184988
2.414573	0.071639	6.736012E-005	-1.188488
2.412060	0.075642	6.595006E-005	-1.190902
2.409548	0.073629	6.483959E-005	-1.193589
2.407035	0.074321	6.583424E-005	-1.196450
2.404523	0.078138	6.598898E-005	-1.198755
2.402010	0.075482	6.645675E-005	-1.201663
2.399497	0.076933	6.725730E-005	-1.205232
2.396985	0.088713	6.852239E-005	-1.208212
2.394472	0.088363	6.883362E-005	-1.210765
2.391960	0.084222	7.334097E-005	-1.213744
2.389447	0.083147	6.989825E-005	-1.215566
2.386935	0.083391	7.271174E-005	-1.219451
2.384422	0.086887	7.386632E-005	-1.222339
2.381910	0.093807	7.222249E-005	-1.225077
2.379397	0.088447	7.282312E-005	-1.228150
2.376884	0.087325	7.022265E-005	-1.230394
2.374372	0.094099	7.467683E-005	-1.234298
2.371859	0.099741	7.602748E-005	-1.237070
2.369347	0.101350	7.806108E-005	-1.240481
2.366834	0.096299	7.596898E-005	-1.242616
2.364322	0.097932	8.031055E-005	-1.245409
2.361809	0.098960	7.767328E-005	-1.248859
2.359296	0.120262	7.495874E-005	-1.253141
2.356784	0.099643	7.699503E-005	-1.256081
2.354271	0.116074	7.933853E-005	-1.259973
2.351759	0.135936	7.977508E-005	-1.263181
