Temp	Magnetization	Heat capacity	Energy
2.000000	0.909292	7.126750E-004	-1.743536
2.002513	0.908416	7.161243E-004	-1.741698
2.005025	0.907532	7.195363E-004	-1.739852
2.007538	0.906640	7.229163E-004	-1.737996
2.010050	0.905740	7.262702E-004	-1.736132
2.012563	0.904832	7.296044E-004	-1.734259
2.015075	0.903916	7.329257E-004	-1.732377
2.017588	0.902992	7.362414E-004	-1.730487
2.020101	0.902059	7.395594E-004	-1.728589
2.022613	0.901118	7.428878E-004	-1.726682
2.025126	0.900169	7.462352E-004	-1.724766
2.027638	0.899211	7.496104E-004	-1.722842
2.030151	0.898244	7.530226E-004	-1.720909
2.032663	0.897268	7.564815E-004	-1.718967
2.035176	0.896283	7.599966E-004	-1.717016
2.037688	0.895288	7.635780E-004	-1.715056
2.040201	0.894284	7.672359E-004	-1.713087
2.042714	0.893270	7.709806E-004	-1.711108
2.045226	0.892246	7.748226E-004	-1.709119
2.047739	0.891212	7.787726E-004	-1.707121
2.050251	0.890167	7.828413E-004	-1.705112
2.052764	0.889110	7.870395E-004	-1.703092
2.055276	0.888043	7.913782E-004	-1.701062
2.057789	0.886964	7.958682E-004	-1.699020
2.060302	0.885872	8.005207E-004	-1.696967
2.062814	0.884768	8.053466E-004	-1.694901
2.065327	0.883650	8.103571E-004	-1.692822
2.067839	0.882519	8.155635E-004	-1.690731
2.070352	0.881374	8.209767E-004	-1.688625
2.072864	0.880214	8.266082E-004	-1.686506
2.075377	0.879039	8.324693E-004	-1.684372
2.077889	0.877848	8.385712E-004	-1.682222
2.080402	0.876641	8.449255E-004	-1.680056
2.082915	0.875416	8.515436E-004	-1.677874
2.085427	0.874173	8.584372E-004	-1.675674
2.087940	0.872912	8.656180E-004	-1.673457
2.090452	0.871631	8.730979E-004	-1.671220
2.092965	0.870329	8.808889E-004	-1.668964
2.095477	0.869006	8.890031E-004	-1.666687
2.097990	0.867661	8.974527E-004	-1.664389
2.100503	0.866293	9.062504E-004	-1.662068
2.103015	0.864900	9.154087E-004	-1.659725
2.105528	0.863482	9.249405E-004	-1.657358
2.108040	0.862037	9.348589E-004	-1.654965
2.110553	0.860565	9.451770E-004	-1.652547
