Temp	Magnetization	Heat capacity	Energy
2.500000	0.448352	4.415078E-003	-1.160109
2.495960	0.378563	3.876802E-003	-1.134063
2.491919	0.436633	4.499333E-003	-1.158375
2.487879	0.376164	4.435173E-003	-1.135422
2.483838	0.489852	5.000478E-003	-1.187141
2.479798	0.377266	3.849017E-003	-1.129719
2.475758	0.465781	5.052352E-003	-1.179578
2.471717	0.412984	4.756937E-003	-1.163844
2.467677	0.428875	4.277183E-003	-1.176016
2.463636	0.486820	4.538355E-003	-1.197250
2.459596	0.438055	4.693975E-003	-1.187453
2.455556	0.476602	5.117528E-003	-1.198734
2.451515	0.456953	5.319183E-003	-1.196234
2.447475	0.402687	4.170229E-003	-1.156203
2.443434	0.497758	4.902566E-003	-1.214875
2.439394	0.482289	5.581751E-003	-1.212078
2.435354	0.494336	4.733667E-003	-1.226297
2.431313	0.450156	4.248280E-003	-1.196016
2.427273	0.487016	5.593409E-003	-1.218109
2.423232	0.516320	5.785182E-003	-1.240141
2.419192	0.532867	5.254478E-003	-1.250953
2.415152	0.454359	5.359988E-003	-1.210672
2.411111	0.513758	5.139477E-003	-1.247672
2.407071	0.466898	5.190484E-003	-1.225781
2.403030	0.519875	5.798437E-003	-1.249141
2.398990	0.468742	5.575859E-003	-1.231594
2.394949	0.506375	5.287651E-003	-1.251859
2.390909	0.477602	5.643440E-003	-1.244359
2.386869	0.586516	5.155650E-003	-1.296297
2.382828	0.545648	5.596776E-003	-1.286531
2.378788	0.542867	6.524180E-003	-1.283297
2.374747	0.594664	5.370964E-003	-1.312109
2.370707	0.592406	5.565805E-003	-1.310781
2.366667	0.547484	5.829463E-003	-1.283938
2.362626	0.548008	5.495138E-003	-1.301344
2.358586	0.565016	5.794973E-003	-1.307781
2.354545	0.575391	5.884248E-003	-1.314594
2.350505	0.594930	6.043697E-003	-1.336906
2.346465	0.580133	6.407564E-003	-1.325094
2.342424	0.594539	5.623127E-003	-1.331609
2.338384	0.640813	5.754436E-003	-1.360141
2.334343	0.600555	5.797108E-003	-1.333844
2.330303	0.644281	6.445993E-003	-1.376063
2.326263	0.615633	5.896747E-003	-1.352203
2.322222	0.590047	5.958340E-003	-1.337563
2.318182	0.658070	6.143435E-003	-1.382984
2.314141	0.577461	6.605346E-003	-1.340703
2.310101	0.632141	5.943881E-003	-1.379141
2.306061	0.670469	5.218679E-003	-1.397250
2.302020	0.688234	5.966573E-003	-1.421781
2.297980	0.648414	6.146504E-003	-1.395625
2.293939	0.702000	5.687912E-003	-1.431891
2.289899	0.697211	5.755409E-003	-1.430328
2.285859	0.683953	7.081965E-003	-1.424594
2.281818	0.694734	5.840219E-003	-1.431391
2.277778	0.672273	6.040238E-003	-1.426984
2.273737	0.711211	6.203006E-003	-1.459078
2.269697	0.709773	5.768176E-003	-1.452469
2.265657	0.712898	5.719830E-003	-1.466641
2.261616	0.723422	5.819146E-003	-1.464734
2.257576	0.712398	6.266354E-003	-1.466875
2.253535	0.723680	4.868973E-003	-1.462609
2.249495	0.762836	5.053290E-003	-1.492266
2.245455	0.758125	5.362136E-003	-1.504000
2.241414	0.754477	5.407564E-003	-1.494094
2.237374	0.713164	6.585097E-003	-1.467062
2.233333	0.743266	6.323324E-003	-1.494094
2.229293	0.783937	5.021496E-003	-1.523500
2.225253	0.756055	5.354595E-003	-1.513406
2.221212	0.751719	6.018012E-003	-1.510750
2.217172	0.738773	5.605094E-003	-1.494141
2.213131	0.758586	5.738927E-003	-1.512438
2.209091	0.780539	5.856452E-003	-1.535844
2.205051	0.779273	4.937296E-003	-1.538078
2.201010	0.810344	4.827568E-003	-1.570875
2.196970	0.805195	4.712409E-003	-1.558016
2.192929	0.769828	5.619457E-003	-1.539609
2.188889	0.818352	4.192205E-003	-1.570625
2.184848	0.795477	5.620417E-003	-1.565984
2.180808	0.792398	5.623187E-003	-1.563969
2.176768	0.834180	3.801603E-003	-1.587141
2.172727	0.832672	4.330918E-003	-1.599672
2.168687	0.828125	4.607485E-003	-1.593063
2.164646	0.844453	3.821899E-003	-1.608547
2.160606	0.808969	4.729121E-003	-1.574797
2.156566	0.826953	4.455788E-003	-1.595734
2.152525	0.848820	4.046582E-003	-1.622969
2.148485	0.847242	4.219519E-003	-1.622672
2.144444	0.845664	3.950253E-003	-1.618484
2.140404	0.848906	4.011505E-003	-1.619687
2.136364	0.841609	4.582550E-003	-1.626328
2.132323	0.854703	3.753191E-003	-1.634641
2.128283	0.859734	3.423787E-003	-1.636438
2.124242	0.869383	3.646845E-003	-1.651234
2.120202	0.867328	3.397070E-003	-1.646937
2.116162	0.862297	4.255033E-003	-1.650547
2.112121	0.868148	3.521238E-003	-1.658875
2.108081	0.859523	4.076845E-003	-1.646547
2.104040	0.865516	3.490188E-003	-1.660688
2.100000	0.875477	3.312148E-003	-1.665219
