Sample	Temp	Count
0	2.450000	4
1	2.445960	5
2	2.441919	1
3	2.437879	3
4	2.433838	6
5	2.429798	12
6	2.425758	5
7	2.421717	10
8	2.417677	15
9	2.413636	20
10	2.409596	10
11	2.405556	13
12	2.401515	32
13	2.397475	20
14	2.393434	27
15	2.389394	23
16	2.385354	37
17	2.381313	43
18	2.377273	39
19	2.373232	44
20	2.369192	58
21	2.365152	68
22	2.361111	45
23	2.357071	80
24	2.353030	76
25	2.348990	92
26	2.344949	95
27	2.340909	102
28	2.336869	113
29	2.332828	111
30	2.328788	134
31	2.324747	157
32	2.320707	141
33	2.316667	187
34	2.312626	203
35	2.308586	218
36	2.304545	211
37	2.300505	249
38	2.296465	233
39	2.292424	251
40	2.288384	279
41	2.284343	287
42	2.280303	285
43	2.276263	328
44	2.272222	328
45	2.268182	297
46	2.264141	306
47	2.260101	351
48	2.256061	347
49	2.252020	328
50	2.247980	326
51	2.243939	282
52	2.239899	265
53	2.235859	266
54	2.231818	233
55	2.227778	267
56	2.223737	229
57	2.219697	204
58	2.215657	176
59	2.211616	159
60	2.207576	161
61	2.203535	143
62	2.199495	97
63	2.195455	100
64	2.191414	108
65	2.187374	102
66	2.183333	70
67	2.179293	60
68	2.175253	52
69	2.171212	46
70	2.167172	54
71	2.163131	43
72	2.159091	33
73	2.155051	32
74	2.151010	24
75	2.146970	27
76	2.142929	23
77	2.138889	19
78	2.134848	11
79	2.130808	13
80	2.126768	15
81	2.122727	7
82	2.118687	4
83	2.114646	5
84	2.110606	3
85	2.106566	4
86	2.102525	2
87	2.098485	2
88	2.094444	1
89	2.090404	0
90	2.086364	0
91	2.082323	0
92	2.078283	0
93	2.074242	0
94	2.070202	1
95	2.066162	0
96	2.062121	0
97	2.058081	1
98	2.054040	1
99	2.050000	0
