Sample	Temp	Count
0	2.200000	0
1	2.201508	0
2	2.203015	0
3	2.204523	0
4	2.206030	1
5	2.207538	0
6	2.209045	0
7	2.210553	0
8	2.212060	0
9	2.213568	0
10	2.215075	0
11	2.216583	0
12	2.218090	0
13	2.219598	0
14	2.221106	1
15	2.222613	0
16	2.224121	0
17	2.225628	0
18	2.227136	0
19	2.228643	0
20	2.230151	0
21	2.231658	0
22	2.233166	0
23	2.234673	0
24	2.236181	0
25	2.237688	4
26	2.239196	4
27	2.240704	5
28	2.242211	2
29	2.243719	4
30	2.245226	4
31	2.246734	2
32	2.248241	2
33	2.249749	7
34	2.251256	9
35	2.252764	11
36	2.254271	7
37	2.255779	20
38	2.257286	15
39	2.258794	7
40	2.260302	22
41	2.261809	21
42	2.263317	23
43	2.264824	22
44	2.266332	41
45	2.267839	39
46	2.269347	45
47	2.270854	39
48	2.272362	37
49	2.273869	61
50	2.275377	72
51	2.276884	92
52	2.278392	67
53	2.279899	91
54	2.281407	101
55	2.282915	87
56	2.284422	93
57	2.285930	114
58	2.287437	117
59	2.288945	134
60	2.290452	166
61	2.291960	155
62	2.293467	164
63	2.294975	165
64	2.296482	176
65	2.297990	193
66	2.299497	180
67	2.301005	194
68	2.302513	198
69	2.304020	199
70	2.305528	225
71	2.307035	210
72	2.308543	210
73	2.310050	262
74	2.311558	217
75	2.313065	249
76	2.314573	241
77	2.316080	224
78	2.317588	224
79	2.319095	238
80	2.320603	247
81	2.322111	223
82	2.323618	226
83	2.325126	224
84	2.326633	196
85	2.328141	203
86	2.329648	211
87	2.331156	219
88	2.332663	168
89	2.334171	186
90	2.335678	178
91	2.337186	174
92	2.338693	181
93	2.340201	177
94	2.341709	148
95	2.343216	122
96	2.344724	117
97	2.346231	109
98	2.347739	113
99	2.349246	92
100	2.350754	100
101	2.352261	90
102	2.353769	92
103	2.355276	90
104	2.356784	60
105	2.358291	54
106	2.359799	64
107	2.361307	48
108	2.362814	55
109	2.364322	30
110	2.365829	48
111	2.367337	33
112	2.368844	34
113	2.370352	23
114	2.371859	24
115	2.373367	17
116	2.374874	9
117	2.376382	15
118	2.377889	9
119	2.379397	13
120	2.380905	12
121	2.382412	6
122	2.383920	10
123	2.385427	10
124	2.386935	8
125	2.388442	3
126	2.389950	5
127	2.391457	1
128	2.392965	1
129	2.394472	0
130	2.395980	0
131	2.397487	3
132	2.398995	2
133	2.400503	1
134	2.402010	0
135	2.403518	0
136	2.405025	1
137	2.406533	0
138	2.408040	2
139	2.409548	0
140	2.411055	0
141	2.412563	0
142	2.414070	0
143	2.415578	0
144	2.417085	0
145	2.418593	0
146	2.420101	0
147	2.421608	0
148	2.423116	0
149	2.424623	0
150	2.426131	0
151	2.427638	0
152	2.429146	0
153	2.430653	0
154	2.432161	0
155	2.433668	0
156	2.435176	0
157	2.436683	0
158	2.438191	0
159	2.439698	0
160	2.441206	0
161	2.442714	0
162	2.444221	0
163	2.445729	0
164	2.447236	0
165	2.448744	0
166	2.450251	0
167	2.451759	0
168	2.453266	0
169	2.454774	0
170	2.456281	0
171	2.457789	0
172	2.459296	0
173	2.460804	0
174	2.462312	0
175	2.463819	0
176	2.465327	0
177	2.466834	0
178	2.468342	0
179	2.469849	0
180	2.471357	0
181	2.472864	0
182	2.474372	0
183	2.475879	0
184	2.477387	0
185	2.478894	0
186	2.480402	0
187	2.481910	0
188	2.483417	0
189	2.484925	0
190	2.486432	0
191	2.487940	0
192	2.489447	0
193	2.490955	0
194	2.492462	0
195	2.493970	0
196	2.495477	0
197	2.496985	0
198	2.498492	0
199	2.500000	0
