Sample	Temp	Count
0	2.100000	0
1	2.101508	0
2	2.103015	0
3	2.104523	0
4	2.106030	0
5	2.107538	0
6	2.109045	0
7	2.110553	0
8	2.112060	0
9	2.113568	0
10	2.115075	0
11	2.116583	0
12	2.118090	0
13	2.119598	0
14	2.121106	0
15	2.122613	0
16	2.124121	0
17	2.125628	0
18	2.127136	0
19	2.128643	0
20	2.130151	0
21	2.131658	0
22	2.133166	0
23	2.134673	0
24	2.136181	0
25	2.137688	0
26	2.139196	0
27	2.140704	0
28	2.142211	0
29	2.143719	0
30	2.145226	0
31	2.146734	0
32	2.148241	0
33	2.149749	0
34	2.151256	0
35	2.152764	0
36	2.154271	0
37	2.155779	0
38	2.157286	0
39	2.158794	0
40	2.160302	0
41	2.161809	0
42	2.163317	0
43	2.164824	0
44	2.166332	0
45	2.167839	0
46	2.169347	0
47	2.170854	0
48	2.172362	0
49	2.173869	0
50	2.175377	0
51	2.176884	0
52	2.178392	0
53	2.179899	0
54	2.181407	0
55	2.182915	0
56	2.184422	0
57	2.185930	0
58	2.187437	0
59	2.188945	0
60	2.190452	0
61	2.191960	0
62	2.193467	0
63	2.194975	0
64	2.196482	0
65	2.197990	0
66	2.199497	0
67	2.201005	0
68	2.202513	0
69	2.204020	0
70	2.205528	0
71	2.207035	0
72	2.208543	0
73	2.210050	0
74	2.211558	0
75	2.213065	0
76	2.214573	0
77	2.216080	0
78	2.217588	0
79	2.219095	0
80	2.220603	0
81	2.222111	0
82	2.223618	0
83	2.225126	0
84	2.226633	0
85	2.228141	0
86	2.229648	0
87	2.231156	0
88	2.232663	0
89	2.234171	0
90	2.235678	0
91	2.237186	0
92	2.238693	0
93	2.240201	0
94	2.241709	0
95	2.243216	0
96	2.244724	0
97	2.246231	0
98	2.247739	0
99	2.249246	0
100	2.250754	0
101	2.252261	0
102	2.253769	0
103	2.255276	0
104	2.256784	0
105	2.258291	0
106	2.259799	0
107	2.261307	0
108	2.262814	0
109	2.264322	0
110	2.265829	0
111	2.267337	0
112	2.268844	0
113	2.270352	0
114	2.271859	0
115	2.273367	0
116	2.274874	0
117	2.276382	0
118	2.277889	0
119	2.279397	0
120	2.280905	0
121	2.282412	0
122	2.283920	0
123	2.285427	0
124	2.286935	0
125	2.288442	0
126	2.289950	0
127	2.291457	0
128	2.292965	0
129	2.294472	0
130	2.295980	0
131	2.297487	0
132	2.298995	0
133	2.300503	0
134	2.302010	0
135	2.303518	0
136	2.305025	0
137	2.306533	0
138	2.308040	0
139	2.309548	0
140	2.311055	0
141	2.312563	0
142	2.314070	0
143	2.315578	0
144	2.317085	0
145	2.318593	0
146	2.320101	0
147	2.321608	0
148	2.323116	0
149	2.324623	1
150	2.326131	0
151	2.327638	1
152	2.329146	1
153	2.330653	2
154	2.332161	3
155	2.333668	7
156	2.335176	14
157	2.336683	21
158	2.338191	30
159	2.339698	28
160	2.341206	51
161	2.342714	68
162	2.344221	99
163	2.345729	129
164	2.347236	170
165	2.348744	246
166	2.350251	256
167	2.351759	350
168	2.353266	414
169	2.354774	488
170	2.356281	500
171	2.357789	614
172	2.359296	602
173	2.360804	657
174	2.362312	644
175	2.363819	621
176	2.365327	607
177	2.366834	579
178	2.368342	538
179	2.369849	458
180	2.371357	409
181	2.372864	335
182	2.374372	292
183	2.375879	236
184	2.377387	151
185	2.378894	104
186	2.380402	74
187	2.381910	61
188	2.383417	48
189	2.384925	38
190	2.386432	25
191	2.387940	12
192	2.389447	4
193	2.390955	4
194	2.392462	2
195	2.393970	1
196	2.395477	2
197	2.396985	2
198	2.398492	0
199	2.400000	1
