Temp	Magnetization	Heat capacity	Energy
2.100000	0.872952	1.385745E-002	-1.661602
2.101508	0.872287	1.389774E-002	-1.660263
2.103015	0.871618	1.393802E-002	-1.658920
2.104523	0.870946	1.397828E-002	-1.657573
2.106030	0.870271	1.401852E-002	-1.656223
2.107538	0.869593	1.405873E-002	-1.654868
2.109045	0.868911	1.409892E-002	-1.653510
2.110553	0.868227	1.413909E-002	-1.652148
2.112060	0.867539	1.417922E-002	-1.650781
2.113568	0.866848	1.421933E-002	-1.649411
2.115075	0.866154	1.425940E-002	-1.648038
2.116583	0.865456	1.429943E-002	-1.646660
2.118090	0.864756	1.433943E-002	-1.645278
2.119598	0.864052	1.437938E-002	-1.643893
2.121106	0.863345	1.441929E-002	-1.642504
2.122613	0.862634	1.445915E-002	-1.641110
2.124121	0.861921	1.449897E-002	-1.639713
2.125628	0.861204	1.453874E-002	-1.638313
2.127136	0.860484	1.457845E-002	-1.636908
2.128643	0.859760	1.461810E-002	-1.635500
2.130151	0.859034	1.465770E-002	-1.634087
2.131658	0.858304	1.469724E-002	-1.632671
2.133166	0.857571	1.473671E-002	-1.631251
2.134673	0.856834	1.477612E-002	-1.629827
2.136181	0.856095	1.481546E-002	-1.628400
2.137688	0.855352	1.485473E-002	-1.626969
2.139196	0.854606	1.489393E-002	-1.625533
2.140704	0.853856	1.493304E-002	-1.624095
2.142211	0.853103	1.497208E-002	-1.622652
2.143719	0.852347	1.501104E-002	-1.621205
2.145226	0.851588	1.504992E-002	-1.619755
2.146734	0.850825	1.508870E-002	-1.618301
2.148241	0.850060	1.512740E-002	-1.616844
2.149749	0.849290	1.516600E-002	-1.615382
2.151256	0.848518	1.520451E-002	-1.613917
2.152764	0.847742	1.524292E-002	-1.612448
2.154271	0.846963	1.528123E-002	-1.610976
2.155779	0.846180	1.531944E-002	-1.609500
2.157286	0.845395	1.535754E-002	-1.608020
2.158794	0.844606	1.539553E-002	-1.606536
2.160302	0.843813	1.543341E-002	-1.605049
2.161809	0.843018	1.547118E-002	-1.603558
2.163317	0.842219	1.550882E-002	-1.602064
2.164824	0.841417	1.554635E-002	-1.600565
2.166332	0.840611	1.558375E-002	-1.599064
2.167839	0.839802	1.562103E-002	-1.597558
2.169347	0.838990	1.565818E-002	-1.596049
2.170854	0.838175	1.569520E-002	-1.594537
2.172362	0.837356	1.573208E-002	-1.593021
2.173869	0.836534	1.576882E-002	-1.591501
2.175377	0.835709	1.580543E-002	-1.589978
2.176884	0.834880	1.584189E-002	-1.588451
2.178392	0.834049	1.587820E-002	-1.586921
2.179899	0.833213	1.591436E-002	-1.585387
2.181407	0.832375	1.595038E-002	-1.583850
2.182915	0.831533	1.598623E-002	-1.582309
2.184422	0.830688	1.602193E-002	-1.580765
2.185930	0.829840	1.605747E-002	-1.579218
2.187437	0.828989	1.609284E-002	-1.577667
2.188945	0.828134	1.612805E-002	-1.576112
2.190452	0.827276	1.616309E-002	-1.574555
2.191960	0.826415	1.619795E-002	-1.572994
2.193467	0.825550	1.623264E-002	-1.571429
2.194975	0.824682	1.626715E-002	-1.569861
2.196482	0.823811	1.630148E-002	-1.568290
2.197990	0.822937	1.633563E-002	-1.566716
2.199497	0.822060	1.636959E-002	-1.565138
2.201005	0.821179	1.640335E-002	-1.563557
2.202513	0.820295	1.643693E-002	-1.561973
2.204020	0.819408	1.647031E-002	-1.560385
2.205528	0.818518	1.650349E-002	-1.558794
2.207035	0.817624	1.653646E-002	-1.557201
2.208543	0.816728	1.656924E-002	-1.555603
2.210050	0.815828	1.660180E-002	-1.554003
2.211558	0.814925	1.663415E-002	-1.552400
2.213065	0.814019	1.666629E-002	-1.550793
2.214573	0.813109	1.669822E-002	-1.549184
2.216080	0.812197	1.672992E-002	-1.547571
2.217588	0.811281	1.676141E-002	-1.545956
2.219095	0.810363	1.679267E-002	-1.544337
2.220603	0.809441	1.682370E-002	-1.542715
2.222111	0.808516	1.685450E-002	-1.541091
2.223618	0.807588	1.688506E-002	-1.539463
2.225126	0.806657	1.691540E-002	-1.537832
2.226633	0.805723	1.694549E-002	-1.536199
2.228141	0.804786	1.697534E-002	-1.534562
2.229648	0.803845	1.700494E-002	-1.532923
2.231156	0.802902	1.703430E-002	-1.531281
2.232663	0.801956	1.706341E-002	-1.529636
2.234171	0.801007	1.709227E-002	-1.527988
2.235678	0.800054	1.712087E-002	-1.526338
2.237186	0.799099	1.714922E-002	-1.524685
2.238693	0.798141	1.717730E-002	-1.523029
2.240201	0.797180	1.720512E-002	-1.521370
2.241709	0.796215	1.723267E-002	-1.519709
2.243216	0.795248	1.725996E-002	-1.518045
2.244724	0.794278	1.728698E-002	-1.516378
2.246231	0.793305	1.731372E-002	-1.514709
2.247739	0.792330	1.734019E-002	-1.513037
2.249246	0.791351	1.736637E-002	-1.511363
2.250754	0.790369	1.739228E-002	-1.509686
2.252261	0.789385	1.741791E-002	-1.508007
2.253769	0.788398	1.744324E-002	-1.506325
2.255276	0.787408	1.746829E-002	-1.504641
2.256784	0.786415	1.749305E-002	-1.502954
2.258291	0.785419	1.751752E-002	-1.501266
2.259799	0.784421	1.754169E-002	-1.499574
2.261307	0.783420	1.756557E-002	-1.497881
2.262814	0.782416	1.758914E-002	-1.496185
2.264322	0.781409	1.761242E-002	-1.494487
2.265829	0.780400	1.763538E-002	-1.492786
2.267337	0.779388	1.765805E-002	-1.491084
2.268844	0.778373	1.768040E-002	-1.489379
2.270352	0.777356	1.770244E-002	-1.487672
2.271859	0.776336	1.772418E-002	-1.485963
2.273367	0.775314	1.774559E-002	-1.484252
2.274874	0.774289	1.776669E-002	-1.482539
2.276382	0.773261	1.778747E-002	-1.480823
2.277889	0.772231	1.780793E-002	-1.479106
2.279397	0.771198	1.782807E-002	-1.477387
2.280905	0.770163	1.784789E-002	-1.475666
2.282412	0.769125	1.786737E-002	-1.473943
2.283920	0.768085	1.788653E-002	-1.472218
2.285427	0.767043	1.790536E-002	-1.470492
2.286935	0.765998	1.792386E-002	-1.468763
2.288442	0.764950	1.794202E-002	-1.467033
2.289950	0.763900	1.795985E-002	-1.465301
2.291457	0.762848	1.797735E-002	-1.463567
2.292965	0.761794	1.799450E-002	-1.461832
2.294472	0.760737	1.801132E-002	-1.460095
2.295980	0.759678	1.802779E-002	-1.458356
2.297487	0.758616	1.804392E-002	-1.456616
2.298995	0.757553	1.805971E-002	-1.454875
2.300503	0.756487	1.807515E-002	-1.453131
2.302010	0.755419	1.809024E-002	-1.451387
2.303518	0.754348	1.810499E-002	-1.449641
2.305025	0.753276	1.811939E-002	-1.447893
2.306533	0.752201	1.813343E-002	-1.446144
2.308040	0.751125	1.814713E-002	-1.444394
2.309548	0.750046	1.816047E-002	-1.442643
2.311055	0.748965	1.817345E-002	-1.440890
2.312563	0.747882	1.818609E-002	-1.439136
2.314070	0.746797	1.819836E-002	-1.437380
2.315578	0.745711	1.821028E-002	-1.435624
2.317085	0.744622	1.822184E-002	-1.433867
2.318593	0.743531	1.823304E-002	-1.432108
2.320101	0.742438	1.824388E-002	-1.430348
2.321608	0.741344	1.825436E-002	-1.428588
2.323116	0.740247	1.826447E-002	-1.426826
2.324623	0.739149	1.827423E-002	-1.425063
2.326131	0.738049	1.828362E-002	-1.423300
2.327638	0.736947	1.829265E-002	-1.421535
2.329146	0.735843	1.830131E-002	-1.419770
2.330653	0.734738	1.830961E-002	-1.418004
2.332161	0.733631	1.831755E-002	-1.416237
2.333668	0.732522	1.832511E-002	-1.414469
2.335176	0.731411	1.833232E-002	-1.412701
2.336683	0.730299	1.833915E-002	-1.410931
2.338191	0.729186	1.834562E-002	-1.409162
2.339698	0.728070	1.835172E-002	-1.407391
2.341206	0.726954	1.835745E-002	-1.405620
2.342714	0.725835	1.836282E-002	-1.403849
2.344221	0.724715	1.836782E-002	-1.402077
2.345729	0.723594	1.837244E-002	-1.400305
2.347236	0.722471	1.837671E-002	-1.398532
2.348744	0.721347	1.838060E-002	-1.396759
2.350251	0.720222	1.838412E-002	-1.394985
2.351759	0.719095	1.838728E-002	-1.393211
2.353266	0.717966	1.839007E-002	-1.391437
2.354774	0.716837	1.839249E-002	-1.389663
2.356281	0.715706	1.839454E-002	-1.387888
2.357789	0.714574	1.839623E-002	-1.386113
2.359296	0.713441	1.839755E-002	-1.384338
2.360804	0.712306	1.839850E-002	-1.382563
2.362312	0.711171	1.839908E-002	-1.380788
2.363819	0.710034	1.839930E-002	-1.379013
2.365327	0.708896	1.839916E-002	-1.377237
2.366834	0.707757	1.839865E-002	-1.375462
2.368342	0.706617	1.839777E-002	-1.373687
2.369849	0.705476	1.839653E-002	-1.371912
2.371357	0.704334	1.839492E-002	-1.370137
2.372864	0.703191	1.839296E-002	-1.368363
2.374372	0.702047	1.839063E-002	-1.366588
2.375879	0.700902	1.838794E-002	-1.364814
2.377387	0.699756	1.838489E-002	-1.363040
2.378894	0.698610	1.838148E-002	-1.361266
2.380402	0.697462	1.837771E-002	-1.359493
2.381910	0.696314	1.837358E-002	-1.357720
2.383417	0.695165	1.836910E-002	-1.355947
2.384925	0.694015	1.836426E-002	-1.354175
2.386432	0.692865	1.835906E-002	-1.352404
2.387940	0.691714	1.835351E-002	-1.350633
2.389447	0.690562	1.834761E-002	-1.348862
2.390955	0.689410	1.834136E-002	-1.347092
2.392462	0.688257	1.833475E-002	-1.345323
2.393970	0.687104	1.832780E-002	-1.343554
2.395477	0.685949	1.832049E-002	-1.341786
2.396985	0.684795	1.831284E-002	-1.340019
2.398492	0.683640	1.830485E-002	-1.338253
2.400000	0.682484	1.829651E-002	-1.336487
