Sample	Temp	Count
0	2.200000	0
1	2.201508	0
2	2.203015	0
3	2.204523	0
4	2.206030	0
5	2.207538	0
6	2.209045	0
7	2.210553	0
8	2.212060	0
9	2.213568	0
10	2.215075	0
11	2.216583	0
12	2.218090	0
13	2.219598	0
14	2.221106	0
15	2.222613	0
16	2.224121	0
17	2.225628	0
18	2.227136	0
19	2.228643	0
20	2.230151	0
21	2.231658	0
22	2.233166	0
23	2.234673	0
24	2.236181	0
25	2.237688	0
26	2.239196	0
27	2.240704	0
28	2.242211	0
29	2.243719	0
30	2.245226	0
31	2.246734	0
32	2.248241	0
33	2.249749	0
34	2.251256	0
35	2.252764	0
36	2.254271	0
37	2.255779	0
38	2.257286	0
39	2.258794	0
40	2.260302	0
41	2.261809	0
42	2.263317	0
43	2.264824	0
44	2.266332	0
45	2.267839	0
46	2.269347	0
47	2.270854	0
48	2.272362	0
49	2.273869	0
50	2.275377	1
51	2.276884	0
52	2.278392	0
53	2.279899	0
54	2.281407	0
55	2.282915	1
56	2.284422	0
57	2.285930	0
58	2.287437	0
59	2.288945	1
60	2.290452	0
61	2.291960	1
62	2.293467	0
63	2.294975	2
64	2.296482	2
65	2.297990	2
66	2.299497	2
67	2.301005	1
68	2.302513	8
69	2.304020	4
70	2.305528	0
71	2.307035	8
72	2.308543	16
73	2.310050	14
74	2.311558	20
75	2.313065	15
76	2.314573	33
77	2.316080	27
78	2.317588	34
79	2.319095	28
80	2.320603	53
81	2.322111	49
82	2.323618	44
83	2.325126	58
84	2.326633	77
85	2.328141	71
86	2.329648	85
87	2.331156	94
88	2.332663	108
89	2.334171	120
90	2.335678	145
91	2.337186	148
92	2.338693	131
93	2.340201	182
94	2.341709	188
95	2.343216	215
96	2.344724	218
97	2.346231	211
98	2.347739	268
99	2.349246	249
100	2.350754	238
101	2.352261	259
102	2.353769	296
103	2.355276	293
104	2.356784	298
105	2.358291	307
106	2.359799	262
107	2.361307	317
108	2.362814	264
109	2.364322	277
110	2.365829	283
111	2.367337	296
112	2.368844	253
113	2.370352	296
114	2.371859	244
115	2.373367	222
116	2.374874	239
117	2.376382	228
118	2.377889	230
119	2.379397	165
120	2.380905	197
121	2.382412	148
122	2.383920	149
123	2.385427	159
124	2.386935	159
125	2.388442	117
126	2.389950	112
127	2.391457	108
128	2.392965	81
129	2.394472	89
130	2.395980	82
131	2.397487	51
132	2.398995	55
133	2.400503	57
134	2.402010	44
135	2.403518	35
136	2.405025	25
137	2.406533	21
138	2.408040	30
139	2.409548	9
140	2.411055	9
141	2.412563	16
142	2.414070	11
143	2.415578	8
144	2.417085	4
145	2.418593	2
146	2.420101	5
147	2.421608	4
148	2.423116	3
149	2.424623	2
150	2.426131	3
151	2.427638	1
152	2.429146	2
153	2.430653	1
154	2.432161	0
155	2.433668	0
156	2.435176	0
157	2.436683	0
158	2.438191	0
159	2.439698	0
160	2.441206	0
161	2.442714	0
162	2.444221	0
163	2.445729	0
164	2.447236	0
165	2.448744	0
166	2.450251	0
167	2.451759	0
168	2.453266	0
169	2.454774	0
170	2.456281	0
171	2.457789	0
172	2.459296	0
173	2.460804	0
174	2.462312	0
175	2.463819	0
176	2.465327	0
177	2.466834	0
178	2.468342	0
179	2.469849	0
180	2.471357	0
181	2.472864	0
182	2.474372	0
183	2.475879	0
184	2.477387	0
185	2.478894	0
186	2.480402	0
187	2.481910	0
188	2.483417	0
189	2.484925	0
190	2.486432	0
191	2.487940	0
192	2.489447	0
193	2.490955	0
194	2.492462	0
195	2.493970	0
196	2.495477	0
197	2.496985	0
198	2.498492	0
199	2.500000	0
