Energy	ln(density of states)
-128	0.693147	64.000000
-124	-3761.861372	0.000000
-120	4.880006	62.000000
-116	5.559114	60.000000
-112	8.479631	59.637124
-108	9.814546	57.524171
-104	11.922731	56.609417
-100	13.539049	54.356238
-96	15.323625	52.951975
-92	16.968645	50.322922
-88	18.629243	47.564304
-84	20.296037	44.937582
-80	21.940629	41.615562
-76	23.590806	38.030674
-72	25.202837	33.904805
-68	26.785676	30.284177
-64	28.327333	27.219435
-60	29.827455	24.068503
-56	31.253908	21.336575
-52	32.663927	19.037656
-48	33.978242	16.552271
-44	35.220232	14.704743
-40	36.382112	13.397629
-36	37.435915	12.249480
-32	38.426591	11.181884
-28	39.319475	10.274148
-24	40.106874	9.286115
-20	40.785448	8.692266
-16	41.360338	8.204911
-12	41.795076	7.597911
-8	42.125307	6.980752
-4	42.322160	6.491504
0	42.389879	6.006748
4	42.333116	5.777224
8	42.126268	5.473670
12	41.828981	5.193996
16	41.377092	5.041151
20	40.803911	4.717201
24	40.120882	4.572667
28	39.329240	4.331267
32	38.422853	4.151227
36	37.427309	4.027537
40	36.337236	3.846693
44	35.181245	3.714993
48	33.944490	3.603460
52	32.615434	3.475394
56	31.224672	3.339691
60	29.739412	3.197196
64	28.207277	3.090801
68	26.628480	3.002342
72	25.014696	3.079469
76	23.284395	2.829291
80	21.509828	2.711188
84	19.725313	2.655552
88	17.825197	2.445329
92	15.964006	2.178534
96	13.898393	2.142873
100	11.726717	1.857930
104	9.356325	1.562338
108	6.668230	1.152448
112	2.781816	0.000000
116	-3761.861372	0.000000
120	-3761.861372	0.000000
124	-3761.861372	0.000000
128	-3761.861372	0.000000
