Temp	Magnetization	Heat capacity	Energy
2.200000	0.805863	1.732060E-002	-1.543318
2.201508	0.804894	1.735373E-002	-1.541645
2.203015	0.803922	1.738657E-002	-1.539970
2.204523	0.802946	1.741912E-002	-1.538290
2.206030	0.801967	1.745138E-002	-1.536608
2.207538	0.800985	1.748333E-002	-1.534923
2.209045	0.799999	1.751499E-002	-1.533235
2.210553	0.799011	1.754634E-002	-1.531543
2.212060	0.798019	1.757738E-002	-1.529849
2.213568	0.797024	1.760811E-002	-1.528151
2.215075	0.796026	1.763852E-002	-1.526451
2.216583	0.795025	1.766862E-002	-1.524748
2.218090	0.794021	1.769840E-002	-1.523042
2.219598	0.793014	1.772786E-002	-1.521333
2.221106	0.792004	1.775699E-002	-1.519621
2.222613	0.790990	1.778579E-002	-1.517906
2.224121	0.789974	1.781426E-002	-1.516189
2.225628	0.788954	1.784239E-002	-1.514469
2.227136	0.787932	1.787019E-002	-1.512746
2.228643	0.786906	1.789765E-002	-1.511020
2.230151	0.785878	1.792476E-002	-1.509292
2.231658	0.784847	1.795153E-002	-1.507562
2.233166	0.783812	1.797795E-002	-1.505828
2.234673	0.782775	1.800402E-002	-1.504092
2.236181	0.781735	1.802974E-002	-1.502354
2.237688	0.780692	1.805510E-002	-1.500613
2.239196	0.779646	1.808011E-002	-1.498870
2.240704	0.778598	1.810475E-002	-1.497125
2.242211	0.777546	1.812903E-002	-1.495377
2.243719	0.776492	1.815295E-002	-1.493626
2.245226	0.775435	1.817649E-002	-1.491874
2.246734	0.774376	1.819967E-002	-1.490119
2.248241	0.773313	1.822248E-002	-1.488362
2.249749	0.772248	1.824491E-002	-1.486603
2.251256	0.771180	1.826696E-002	-1.484841
2.252764	0.770110	1.828864E-002	-1.483078
2.254271	0.769037	1.830994E-002	-1.481312
2.255779	0.767961	1.833085E-002	-1.479545
2.257286	0.766883	1.835138E-002	-1.477775
2.258794	0.765803	1.837152E-002	-1.476003
2.260302	0.764719	1.839128E-002	-1.474230
2.261809	0.763634	1.841065E-002	-1.472455
2.263317	0.762545	1.842962E-002	-1.470677
2.264824	0.761455	1.844820E-002	-1.468898
2.266332	0.760361	1.846639E-002	-1.467117
2.267839	0.759266	1.848418E-002	-1.465335
2.269347	0.758168	1.850157E-002	-1.463551
2.270854	0.757068	1.851856E-002	-1.461765
2.272362	0.755965	1.853515E-002	-1.459977
2.273869	0.754860	1.855134E-002	-1.458188
2.275377	0.753753	1.856713E-002	-1.456397
2.276884	0.752644	1.858251E-002	-1.454605
2.278392	0.751532	1.859749E-002	-1.452812
2.279899	0.750418	1.861205E-002	-1.451017
2.281407	0.749302	1.862621E-002	-1.449220
2.282915	0.748184	1.863996E-002	-1.447423
2.284422	0.747064	1.865330E-002	-1.445623
2.285930	0.745942	1.866623E-002	-1.443823
2.287437	0.744817	1.867875E-002	-1.442022
2.288945	0.743691	1.869085E-002	-1.440219
2.290452	0.742562	1.870254E-002	-1.438415
2.291960	0.741432	1.871381E-002	-1.436610
2.293467	0.740300	1.872467E-002	-1.434804
2.294975	0.739165	1.873512E-002	-1.432997
2.296482	0.738029	1.874514E-002	-1.431189
2.297990	0.736891	1.875475E-002	-1.429380
2.299497	0.735752	1.876394E-002	-1.427570
2.301005	0.734610	1.877272E-002	-1.425759
2.302513	0.733467	1.878107E-002	-1.423947
2.304020	0.732321	1.878901E-002	-1.422135
2.305528	0.731175	1.879653E-002	-1.420322
2.307035	0.730026	1.880363E-002	-1.418508
2.308543	0.728876	1.881031E-002	-1.416693
2.310050	0.727724	1.881657E-002	-1.414878
2.311558	0.726571	1.882241E-002	-1.413062
2.313065	0.725416	1.882784E-002	-1.411246
2.314573	0.724259	1.883284E-002	-1.409429
2.316080	0.723101	1.883742E-002	-1.407612
2.317588	0.721942	1.884159E-002	-1.405794
2.319095	0.720781	1.884534E-002	-1.403976
2.320603	0.719619	1.884866E-002	-1.402158
2.322111	0.718455	1.885158E-002	-1.400339
2.323618	0.717290	1.885407E-002	-1.398520
2.325126	0.716124	1.885614E-002	-1.396701
