Temp	Magnetization	Heat capacity	Energy
8.000000	0.033536	3.317625E-005	-0.256734
7.964824	0.033336	3.341918E-005	-0.257581
7.929648	0.033468	3.358361E-005	-0.259026
7.894472	0.033437	3.404668E-005	-0.260160
7.859296	0.033498	3.437472E-005	-0.261558
7.824121	0.033531	3.472064E-005	-0.263104
7.788945	0.033652	3.503232E-005	-0.263954
7.753769	0.033692	3.537600E-005	-0.265264
7.718593	0.033942	3.571375E-005	-0.266658
7.683417	0.033813	3.577918E-005	-0.268004
7.648241	0.033907	3.644091E-005	-0.269220
7.613065	0.033911	3.663821E-005	-0.270501
7.577889	0.034028	3.691840E-005	-0.271888
7.542714	0.034286	3.727533E-005	-0.273073
7.507538	0.034096	3.793774E-005	-0.274805
7.472362	0.034235	3.811934E-005	-0.276055
7.437186	0.034126	3.847357E-005	-0.276901
7.402010	0.034453	3.873755E-005	-0.278478
7.366834	0.034339	3.935052E-005	-0.279663
7.331658	0.034428	3.998350E-005	-0.281611
7.296482	0.034431	4.060869E-005	-0.282874
7.261307	0.034564	4.071558E-005	-0.284129
7.226131	0.034579	4.119151E-005	-0.285434
7.190955	0.034749	4.134962E-005	-0.287082
7.155779	0.034628	4.195987E-005	-0.288571
7.120603	0.034787	4.269719E-005	-0.290533
7.085427	0.035000	4.315643E-005	-0.292013
7.050251	0.035093	4.349317E-005	-0.293364
7.015075	0.035155	4.416979E-005	-0.295218
6.979899	0.035196	4.430650E-005	-0.296987
6.944724	0.035049	4.517959E-005	-0.298040
6.909548	0.035396	4.530906E-005	-0.300008
6.874372	0.035376	4.612818E-005	-0.301452
6.839196	0.035443	4.629289E-005	-0.303284
6.804020	0.035461	4.680403E-005	-0.304863
6.768844	0.035613	4.749550E-005	-0.306623
6.733668	0.035709	4.829379E-005	-0.308078
6.698492	0.035796	4.873006E-005	-0.309967
6.663317	0.035823	4.900804E-005	-0.311756
6.628141	0.035813	4.943230E-005	-0.313334
6.592965	0.036127	5.012621E-005	-0.315405
6.557789	0.036045	5.090990E-005	-0.317377
6.522613	0.036272	5.158457E-005	-0.318917
6.487437	0.036228	5.228545E-005	-0.320711
6.452261	0.036101	5.275176E-005	-0.322737
6.417085	0.036204	5.327251E-005	-0.324521
6.381910	0.036410	5.435121E-005	-0.326362
6.346734	0.036728	5.451700E-005	-0.328376
6.311558	0.036695	5.554369E-005	-0.330399
6.276382	0.036767	5.600597E-005	-0.332985
6.241206	0.036842	5.709319E-005	-0.334337
6.206030	0.037212	5.770335E-005	-0.336860
6.170854	0.037045	5.850964E-005	-0.338603
6.135678	0.037310	5.898829E-005	-0.341106
6.100503	0.037253	5.978380E-005	-0.342820
6.065327	0.037499	6.091674E-005	-0.345542
6.030151	0.037492	6.167706E-005	-0.347214
5.994975	0.037496	6.215852E-005	-0.349558
5.959799	0.037836	6.288722E-005	-0.351779
5.924623	0.037663	6.408564E-005	-0.354116
5.889447	0.037986	6.468039E-005	-0.356616
5.854271	0.038338	6.596386E-005	-0.359109
5.819095	0.038435	6.691611E-005	-0.361676
5.783920	0.038368	6.728941E-005	-0.363913
5.748744	0.038534	6.856171E-005	-0.366281
5.713568	0.038704	6.974150E-005	-0.368821
5.678392	0.038794	7.058896E-005	-0.371274
5.643216	0.039160	7.184163E-005	-0.373969
5.608040	0.039199	7.281022E-005	-0.376372
5.572864	0.039454	7.369500E-005	-0.378819
5.537688	0.039360	7.481641E-005	-0.381786
5.502513	0.039732	7.533154E-005	-0.384014
5.467337	0.039804	7.645404E-005	-0.387105
5.432161	0.039812	7.851227E-005	-0.390120
5.396985	0.040277	7.945632E-005	-0.392549
5.361809	0.040323	8.036116E-005	-0.395624
5.326633	0.040545	8.240467E-005	-0.398724
5.291457	0.040481	8.345418E-005	-0.401598
5.256281	0.040820	8.533704E-005	-0.404794
5.221106	0.040877	8.638532E-005	-0.407582
5.185930	0.041023	8.745846E-005	-0.410511
5.150754	0.041348	8.944875E-005	-0.413903
5.115578	0.041641	9.040804E-005	-0.417671
5.080402	0.041804	9.209128E-005	-0.420960
5.045226	0.041869	9.357993E-005	-0.424206
5.010050	0.042070	9.401071E-005	-0.427115
4.974874	0.042427	9.585429E-005	-0.430842
4.939698	0.042820	9.866821E-005	-0.434456
4.904523	0.042811	9.897828E-005	-0.438137
4.869347	0.043276	1.014444E-004	-0.441748
4.834171	0.043212	1.030180E-004	-0.444758
