Temp	Magnetization	Heat capacity	Energy
10.000000	0.052321	6.641487E-005	-0.312360
9.954774	0.052185	6.662236E-005	-0.313796
9.909548	0.052368	6.764589E-005	-0.315247
9.864322	0.052457	6.810735E-005	-0.316971
9.819095	0.052540	6.940829E-005	-0.318977
9.773869	0.052621	6.979863E-005	-0.320051
9.728643	0.052903	7.084542E-005	-0.321187
9.683417	0.053139	7.121146E-005	-0.323110
9.638191	0.053044	7.164770E-005	-0.325082
9.592965	0.053392	7.264562E-005	-0.327007
9.547739	0.053189	7.360792E-005	-0.328342
9.502513	0.053669	7.479904E-005	-0.329983
9.457286	0.053532	7.534888E-005	-0.331881
9.412060	0.053968	7.638494E-005	-0.333402
9.366834	0.054123	7.665637E-005	-0.335524
9.321608	0.054212	7.799145E-005	-0.336931
9.276382	0.054533	7.905406E-005	-0.339038
9.231156	0.054697	7.896980E-005	-0.340869
9.185930	0.054665	8.046807E-005	-0.342356
9.140704	0.054752	8.214844E-005	-0.344778
9.095477	0.055266	8.196800E-005	-0.346595
9.050251	0.055335	8.400425E-005	-0.348537
9.005025	0.055273	8.440354E-005	-0.350385
8.959799	0.055484	8.565519E-005	-0.352739
8.914573	0.055789	8.649869E-005	-0.354350
8.869347	0.056311	8.825474E-005	-0.355934
8.824121	0.055961	8.964515E-005	-0.358733
8.778894	0.056074	8.929756E-005	-0.359701
8.733668	0.056348	9.064088E-005	-0.362060
8.688442	0.056659	9.112513E-005	-0.364814
8.643216	0.057035	9.266997E-005	-0.367083
8.597990	0.057075	9.382893E-005	-0.368900
8.552764	0.057440	9.602821E-005	-0.370596
8.507538	0.057618	9.669562E-005	-0.373167
8.462312	0.057835	9.864929E-005	-0.375841
8.417085	0.058023	9.959156E-005	-0.377888
8.371859	0.058293	1.007660E-004	-0.379944
8.326633	0.058380	1.022389E-004	-0.382816
8.281407	0.058831	1.037938E-004	-0.384901
8.236181	0.059090	1.051064E-004	-0.387487
8.190955	0.059393	1.061224E-004	-0.389153
8.145729	0.059583	1.081302E-004	-0.392553
8.100503	0.059786	1.089900E-004	-0.395088
8.055276	0.060004	1.107131E-004	-0.397767
8.010050	0.060160	1.129304E-004	-0.400264
7.964824	0.060403	1.139563E-004	-0.402035
7.919598	0.060599	1.157967E-004	-0.404979
7.874372	0.061118	1.174373E-004	-0.408341
7.829146	0.061315	1.185962E-004	-0.410910
7.783920	0.061937	1.202424E-004	-0.413774
7.738693	0.061857	1.224072E-004	-0.416409
7.693467	0.062504	1.236217E-004	-0.419428
7.648241	0.062889	1.264390E-004	-0.421913
7.603015	0.063157	1.283568E-004	-0.425105
7.557789	0.063680	1.295243E-004	-0.427846
7.512563	0.063934	1.327140E-004	-0.430441
7.467337	0.064222	1.347709E-004	-0.434302
7.422111	0.064199	1.355085E-004	-0.437152
7.376884	0.064995	1.388094E-004	-0.440423
7.331658	0.065284	1.409861E-004	-0.444175
7.286432	0.065764	1.431001E-004	-0.447116
7.241206	0.066161	1.446363E-004	-0.450129
7.195980	0.066786	1.493134E-004	-0.453615
7.150754	0.067369	1.493837E-004	-0.457421
7.105528	0.067494	1.524926E-004	-0.460399
