Temp	Magnetization	Heat capacity	Energy
10.000000	0.023505	1.218237E-005	-0.427718
9.954774	0.023438	1.220074E-005	-0.430493
9.909548	0.023720	1.244480E-005	-0.432779
9.864322	0.023851	1.241972E-005	-0.434929
9.819095	0.024067	1.289624E-005	-0.437949
9.773869	0.024158	1.295197E-005	-0.439374
9.728643	0.024490	1.300802E-005	-0.441711
9.683417	0.024336	1.335770E-005	-0.444829
9.638191	0.024564	1.367985E-005	-0.447149
9.592965	0.024875	1.360550E-005	-0.449938
9.547739	0.024999	1.367627E-005	-0.452308
9.502513	0.025222	1.390578E-005	-0.454980
9.457286	0.025419	1.411618E-005	-0.457161
9.412060	0.025643	1.431931E-005	-0.459771
9.366834	0.025773	1.443626E-005	-0.462811
9.321608	0.025638	1.465258E-005	-0.465091
9.276382	0.026192	1.498967E-005	-0.468452
9.231156	0.025863	1.490632E-005	-0.470622
9.185930	0.026410	1.551709E-005	-0.473644
9.140704	0.026147	1.578899E-005	-0.476282
9.095477	0.026937	1.574496E-005	-0.479464
9.050251	0.027003	1.603750E-005	-0.482691
9.005025	0.027060	1.641027E-005	-0.484988
8.959799	0.027218	1.660228E-005	-0.488362
8.914573	0.027590	1.678061E-005	-0.491407
8.869347	0.028192	1.702202E-005	-0.494566
8.824121	0.028198	1.713771E-005	-0.497793
8.778894	0.028334	1.751926E-005	-0.500459
8.733668	0.028749	1.772177E-005	-0.504360
8.688442	0.028945	1.807938E-005	-0.507594
8.643216	0.029080	1.822898E-005	-0.510352
8.597990	0.029782	1.879568E-005	-0.514189
8.552764	0.029305	1.896337E-005	-0.517517
8.507538	0.030044	1.930518E-005	-0.521269
8.462312	0.030311	1.960701E-005	-0.525032
8.417085	0.030960	1.983760E-005	-0.528336
8.371859	0.031766	2.061687E-005	-0.532822
8.326633	0.031315	2.080549E-005	-0.535760
8.281407	0.032347	2.082703E-005	-0.539981
8.236181	0.032469	2.106707E-005	-0.543269
8.190955	0.032928	2.192379E-005	-0.547593
8.145729	0.032751	2.194244E-005	-0.551332
8.100503	0.033874	2.266217E-005	-0.556610
8.055276	0.034066	2.296947E-005	-0.559925
8.010050	0.034719	2.350465E-005	-0.564367
7.964824	0.035494	2.394000E-005	-0.569172
7.919598	0.036699	2.459158E-005	-0.573894
7.874372	0.036770	2.497121E-005	-0.578300
7.829146	0.036763	2.596002E-005	-0.582272
7.783920	0.037748	2.602888E-005	-0.587826
7.738693	0.039158	2.698152E-005	-0.592764
7.693467	0.039519	2.722112E-005	-0.597952
7.648241	0.039913	2.781565E-005	-0.602596
7.603015	0.041148	2.887392E-005	-0.608257
7.557789	0.041290	3.009180E-005	-0.613536
7.512563	0.044112	3.085710E-005	-0.619879
7.467337	0.044205	3.119589E-005	-0.624042
7.422111	0.045372	3.229835E-005	-0.629675
7.376884	0.047628	3.318290E-005	-0.637298
7.331658	0.049654	3.565293E-005	-0.644305
7.286432	0.052254	3.694843E-005	-0.650121
7.241206	0.051672	3.745479E-005	-0.656011
7.195980	0.057096	4.048798E-005	-0.664199
7.150754	0.055547	4.098876E-005	-0.670943
7.105528	0.061087	4.488740E-005	-0.679532
7.060302	0.065133	4.607003E-005	-0.688554
7.015075	0.067294	5.088939E-005	-0.695583
6.969849	0.074811	5.645857E-005	-0.707675
6.924623	0.084600	6.823556E-005	-0.720155
6.879397	0.088581	7.175522E-005	-0.729175
6.834171	0.099462	8.853451E-005	-0.745895
6.788945	0.116336	1.232608E-004	-0.765885
6.743719	0.132438	1.489877E-004	-0.787182
6.698492	0.155309	2.027549E-004	-0.814875
6.653266	0.187712	2.863182E-004	-0.857429
6.608040	0.244075	4.267200E-004	-0.930367
6.562814	0.299509	5.015090E-004	-1.012178
6.517588	0.351282	4.994794E-004	-1.096700
6.472362	0.400724	4.819196E-004	-1.195143
6.427136	0.436409	4.621884E-004	-1.278093
6.381910	0.468518	4.215387E-004	-1.359171
6.336683	0.496335	3.959290E-004	-1.436719
6.291457	0.520671	4.068632E-004	-1.510925
6.246231	0.545165	4.052644E-004	-1.588055
6.201005	0.564553	3.752317E-004	-1.653957
6.155779	0.586298	3.686279E-004	-1.729691
6.110553	0.604780	3.608807E-004	-1.797545
6.065327	0.620945	3.446988E-004	-1.859545
6.020101	0.637555	3.429120E-004	-1.924922
5.974874	0.652038	3.281016E-004	-1.984076
5.929648	0.666368	3.232195E-004	-2.043914
5.884422	0.679864	3.223173E-004	-2.102317
5.839196	0.693254	3.139442E-004	-2.161185
5.793970	0.705775	3.003373E-004	-2.217917
5.748744	0.716925	2.943469E-004	-2.269988
5.703518	0.728799	2.868550E-004	-2.326239
5.658291	0.739727	2.870685E-004	-2.378996
5.613065	0.750511	2.735631E-004	-2.432250
5.567839	0.759917	2.675455E-004	-2.479436
