Sample	Temp	Count
0	1.000000	0
1	1.020101	0
2	1.040201	0
3	1.060302	0
4	1.080402	0
5	1.100503	0
6	1.120603	0
7	1.140704	0
8	1.160804	0
9	1.180905	0
10	1.201005	0
11	1.221106	0
12	1.241206	0
13	1.261307	0
14	1.281407	0
15	1.301508	0
16	1.321608	0
17	1.341709	0
18	1.361809	0
19	1.381910	0
20	1.402010	0
21	1.422111	0
22	1.442211	0
23	1.462312	0
24	1.482412	0
25	1.502513	0
26	1.522613	0
27	1.542714	0
28	1.562814	0
29	1.582915	0
30	1.603015	0
31	1.623116	0
32	1.643216	0
33	1.663317	0
34	1.683417	0
35	1.703518	0
36	1.723618	0
37	1.743719	0
38	1.763819	0
39	1.783920	0
40	1.804020	0
41	1.824121	0
42	1.844221	0
43	1.864322	0
44	1.884422	0
45	1.904523	0
46	1.924623	0
47	1.944724	0
48	1.964824	0
49	1.984925	0
50	2.005025	0
51	2.025126	0
52	2.045226	0
53	2.065327	0
54	2.085427	0
55	2.105528	0
56	2.125628	0
57	2.145729	0
58	2.165829	0
59	2.185930	0
60	2.206030	0
61	2.226131	0
62	2.246231	0
63	2.266332	0
64	2.286432	0
65	2.306533	0
66	2.326633	0
67	2.346734	0
68	2.366834	0
69	2.386935	0
70	2.407035	0
71	2.427136	0
72	2.447236	0
73	2.467337	0
74	2.487437	0
75	2.507538	0
76	2.527638	0
77	2.547739	0
78	2.567839	0
79	2.587940	0
80	2.608040	0
81	2.628141	0
82	2.648241	0
83	2.668342	0
84	2.688442	0
85	2.708543	0
86	2.728643	0
87	2.748744	0
88	2.768844	0
89	2.788945	0
90	2.809045	0
91	2.829146	0
92	2.849246	0
93	2.869347	0
94	2.889447	0
95	2.909548	0
96	2.929648	0
97	2.949749	0
98	2.969849	0
99	2.989950	0
100	3.010050	0
101	3.030151	0
102	3.050251	0
103	3.070352	0
104	3.090452	0
105	3.110553	0
106	3.130653	0
107	3.150754	0
108	3.170854	0
109	3.190955	0
110	3.211055	0
111	3.231156	0
112	3.251256	0
113	3.271357	0
114	3.291457	0
115	3.311558	0
116	3.331658	0
117	3.351759	0
118	3.371859	0
119	3.391960	0
120	3.412060	0
121	3.432161	0
122	3.452261	0
123	3.472362	0
124	3.492462	0
125	3.512563	0
126	3.532663	0
127	3.552764	0
128	3.572864	0
129	3.592965	0
130	3.613065	0
131	3.633166	0
132	3.653266	0
133	3.673367	0
134	3.693467	0
135	3.713568	0
136	3.733668	0
137	3.753769	0
138	3.773869	0
139	3.793970	0
140	3.814070	0
141	3.834171	0
142	3.854271	0
143	3.874372	0
144	3.894472	0
145	3.914573	0
146	3.934673	0
147	3.954774	0
148	3.974874	0
149	3.994975	0
150	4.015075	0
151	4.035176	0
152	4.055276	0
153	4.075377	0
154	4.095477	0
155	4.115578	0
156	4.135678	0
157	4.155779	0
158	4.175879	0
159	4.195980	0
160	4.216080	0
161	4.236181	0
162	4.256281	0
163	4.276382	0
164	4.296482	0
165	4.316583	0
166	4.336683	0
167	4.356784	0
168	4.376884	0
169	4.396985	0
170	4.417085	0
171	4.437186	0
172	4.457286	0
173	4.477387	1
174	4.497487	0
175	4.517588	0
176	4.537688	0
177	4.557789	0
178	4.577889	0
179	4.597990	0
180	4.618090	0
181	4.638191	0
182	4.658291	0
183	4.678392	0
184	4.698492	0
185	4.718593	0
186	4.738693	0
187	4.758794	0
188	4.778894	0
189	4.798995	0
190	4.819095	0
191	4.839196	0
192	4.859296	0
193	4.879397	0
194	4.899497	0
195	4.919598	0
196	4.939698	0
197	4.959799	0
198	4.979899	0
199	5.000000	0
