Energy	ln(density of states)
-8192	0.693147
-8188	0.693147
-8184	0.693147
-8180	0.693147
-8176	0.693147
-8172	0.693147
-8168	0.693147
-8164	0.693147
-8160	0.693147
-8156	0.693147
-8152	0.693147
-8148	0.693147
-8144	0.693147
-8140	0.693147
-8136	0.693147
-8132	0.693147
-8128	0.693147
-8124	0.693147
-8120	0.693147
-8116	0.693147
-8112	0.693147
-8108	0.693147
-8104	0.693147
-8100	0.693147
-8096	0.693147
-8092	0.693147
-8088	0.693147
-8084	0.693147
-8080	0.693147
-8076	0.693147
-8072	0.693147
-8068	0.693147
-8064	0.693147
-8060	0.693147
-8056	0.693147
-8052	0.693147
-8048	0.693147
-8044	0.693147
-8040	0.693147
-8036	0.693147
-8032	0.693147
-8028	0.693147
-8024	0.693147
-8020	0.693147
-8016	0.693147
-8012	0.693147
-8008	0.693147
-8004	0.693147
-8000	0.693147
-7996	0.693147
-7992	0.693147
-7988	0.693147
-7984	0.693147
-7980	0.693147
-7976	0.693147
-7972	0.693147
-7968	0.693147
-7964	0.693147
-7960	0.693147
-7956	0.693147
-7952	0.693147
-7948	0.693147
-7944	0.693147
-7940	0.693147
-7936	0.693147
-7932	0.693147
-7928	0.693147
-7924	0.693147
-7920	0.693147
-7916	0.693147
-7912	0.693147
-7908	0.693147
-7904	0.693147
-7900	0.693147
-7896	0.693147
-7892	0.693147
-7888	0.693147
-7884	0.693147
-7880	0.693147
-7876	0.693147
-7872	0.693147
-7868	0.693147
-7864	0.693147
-7860	0.693147
-7856	0.693147
-7852	0.693147
-7848	0.693147
-7844	0.693147
-7840	0.693147
-7836	0.693147
-7832	0.693147
-7828	0.693147
-7824	0.693147
-7820	0.693147
-7816	0.693147
-7812	0.693147
-7808	0.693147
-7804	0.693147
-7800	0.693147
-7796	0.693147
-7792	0.693147
-7788	0.693147
-7784	0.693147
-7780	0.693147
-7776	0.693147
-7772	0.693147
-7768	0.693147
-7764	0.693147
-7760	0.693147
-7756	0.693147
-7752	0.693147
-7748	0.693147
-7744	0.693147
-7740	0.693147
-7736	0.693147
-7732	0.693147
-7728	0.693147
-7724	0.693147
-7720	0.693147
-7716	0.693147
-7712	0.693147
-7708	0.693147
-7704	0.693147
-7700	0.693147
-7696	0.693147
-7692	0.693147
-7688	0.693147
-7684	0.693147
-7680	0.693147
-7676	0.693147
-7672	0.693147
-7668	0.693147
-7664	0.693147
-7660	0.693147
-7656	0.693147
-7652	0.693147
-7648	0.693147
-7644	0.693147
-7640	0.693147
-7636	0.693147
-7632	0.693147
-7628	0.693147
-7624	0.693147
-7620	0.693147
-7616	0.693147
-7612	0.693147
-7608	0.693147
-7604	0.693147
-7600	0.693147
-7596	0.693147
-7592	0.693147
-7588	0.693147
-7584	0.693147
-7580	0.693147
-7576	0.693147
-7572	0.693147
-7568	0.693147
-7564	0.693147
-7560	0.693147
-7556	0.693147
-7552	0.693147
-7548	0.693147
-7544	0.693147
-7540	0.693147
-7536	0.693147
-7532	0.693147
-7528	0.693147
-7524	0.693147
-7520	0.693147
-7516	0.693147
-7512	0.693147
-7508	0.693147
-7504	0.693147
-7500	0.693147
-7496	0.693147
-7492	0.693147
-7488	0.693147
-7484	0.693147
-7480	0.693147
-7476	0.693147
-7472	0.693147
-7468	0.693147
-7464	0.693147
-7460	0.693147
-7456	0.693147
-7452	0.693147
-7448	0.693147
-7444	0.693147
-7440	0.693147
-7436	0.693147
-7432	0.693147
-7428	0.693147
-7424	0.693147
-7420	0.693147
-7416	0.693147
-7412	0.693147
-7408	0.693147
-7404	0.693147
-7400	0.693147
-7396	0.693147
-7392	0.693147
-7388	0.693147
-7384	0.693147
-7380	0.693147
-7376	0.693147
-7372	0.693147
-7368	0.693147
-7364	0.693147
-7360	0.693147
-7356	0.693147
-7352	0.693147
-7348	0.693147
-7344	0.693147
-7340	0.693147
-7336	0.693147
-7332	0.693147
-7328	0.693147
-7324	0.693147
-7320	0.693147
-7316	0.693147
-7312	0.693147
-7308	0.693147
-7304	0.693147
-7300	0.693147
-7296	0.693147
-7292	0.693147
-7288	0.693147
-7284	0.693147
-7280	0.693147
-7276	0.693147
-7272	0.693147
-7268	0.693147
-7264	0.693147
-7260	0.693147
-7256	0.693147
-7252	0.693147
-7248	0.693147
-7244	0.693147
-7240	0.693147
-7236	0.693147
-7232	0.693147
-7228	0.693147
-7224	0.693147
