Energy	ln(density of states)
-2048	0.693147	1024.000000
-2044	-48692.868895	0.000000
-2040	7.668581	1022.000000
-2036	8.400407	1020.000000
-2032	13.993547	1019.947592
-2028	15.329271	1017.942294
-2024	19.916612	1017.875274
-2020	21.680864	1015.933527
-2016	25.518312	1015.729701
-2012	27.607515	1013.792185
-2008	30.952165	1013.520073
-2004	33.171724	1011.631314
-2000	36.258668	1011.181931
-1996	38.532289	1009.400694
-1992	41.408006	1008.788741
-1988	43.668840	1007.194763
-1984	46.397584	1006.446224
-1980	48.759065	1004.860507
-1976	51.367799	1003.966581
-1972	53.770067	1002.461131
-1968	56.251420	1001.474389
-1964	58.641344	999.993115
-1960	61.077577	998.902350
-1956	63.424562	997.606244
-1952	65.760057	996.473875
-1948	68.145250	995.180227
-1944	70.427980	993.798288
-1940	72.755434	992.386737
-1936	75.103120	991.066755
-1932	77.372545	989.852131
-1928	79.660600	988.510670
-1924	81.952531	986.999932
-1920	84.231660	985.682973
-1916	86.453264	984.341929
-1912	88.693391	983.052235
-1908	90.908845	981.559179
-1904	93.146654	980.264236
-1900	95.379701	978.817707
-1896	97.558549	977.475189
-1892	99.746873	976.027145
-1888	101.927583	974.465157
-1884	104.072130	973.210684
-1880	106.232408	971.743146
-1876	108.383256	970.258282
-1872	110.505617	968.873787
-1868	112.657274	967.476384
-1864	114.766527	965.855570
-1860	116.893693	964.391670
-1856	118.975267	962.823024
-1852	121.082521	961.313560
-1848	123.161943	959.807323
-1844	125.263139	958.398925
-1840	127.359407	956.902518
-1836	129.397554	955.414322
-1832	131.458208	953.851408
-1828	133.507448	952.357668
-1824	135.552461	950.568280
-1820	137.635896	948.955854
-1816	139.634309	947.683544
-1812	141.676042	945.811147
-1808	143.703035	944.230827
-1804	145.697786	942.568897
-1800	147.696748	940.722632
-1796	149.724428	939.145004
-1792	151.689317	937.349306
-1788	153.696916	935.478383
-1784	155.670625	933.930150
-1780	157.633150	931.952444
-1776	159.633958	930.227580
-1772	161.603975	928.351829
-1768	163.568239	926.607126
-1764	165.538835	924.885466
-1760	167.484788	922.907664
-1756	169.445619	920.672692
-1752	171.427446	918.582389
-1748	173.350999	917.095357
-1744	175.309297	915.004986
-1740	177.233903	913.025250
-1736	179.184816	911.284924
-1732	181.105196	909.120597
-1728	183.023820	907.231436
-1724	184.956254	905.119821
-1720	186.886751	902.755712
-1716	188.793733	900.730085
-1712	190.684694	899.038655
-1708	192.607408	896.603027
-1704	194.491685	894.924924
-1700	196.370866	892.942164
-1696	198.261903	890.654696
-1692	200.143938	888.676619
-1688	202.054384	886.476233
-1684	203.931062	883.811004
-1680	205.824815	881.765726
-1676	207.707750	879.280028
-1672	209.599504	877.339292
-1668	211.473054	874.790303
-1664	213.340013	872.864785
-1660	215.194810	870.141986
-1656	217.072038	867.481228
-1652	218.914339	865.413296
-1648	220.764223	861.971063
-1644	222.596391	859.463778
-1640	224.469255	856.414683
-1636	226.297899	854.060062
-1632	228.121873	851.455649
-1628	229.972627	848.824362
-1624	231.786012	845.929894
-1620	233.631761	843.684291
-1616	235.456346	840.077329
-1612	237.292543	837.177156
-1608	239.123857	834.138499
-1604	240.967470	830.929369
-1600	242.782136	828.197475
-1596	244.625230	825.853916
-1592	246.421373	821.673858
-1588	248.235628	819.327094
-1584	250.034608	816.196858
-1580	251.856966	812.749099
-1576	253.653108	809.055078
-1572	255.467683	805.579716
-1568	257.281023	802.575588
-1564	259.079683	798.609290
-1560	260.897203	794.000246
-1556	262.654970	790.875746
-1552	264.442781	788.398060
-1548	266.211900	785.406411
-1544	267.986101	782.183471
-1540	269.781679	777.919381
-1536	271.552812	773.638200
-1532	273.358690	768.816956
-1528	275.125688	765.759544
-1524	276.893388	761.127255
-1520	278.688600	757.537918
-1516	280.468034	752.664717
-1512	282.232011	748.793302
-1508	284.024492	744.743542
-1504	285.795106	741.066050
-1500	287.573595	735.614923
-1496	289.341753	730.028947
-1492	291.120088	725.654098
-1488	292.849824	719.996633
-1484	294.658098	714.313739
-1480	296.411027	710.799025
-1476	298.176973	707.861240
-1472	299.929948	701.928495
-1468	301.690706	696.152535
-1464	303.432756	690.846629
-1460	305.175676	685.882862
-1456	306.921846	679.323467
-1452	308.654466	676.543289
-1448	310.419923	668.447017
-1444	312.139940	663.797856
-1440	313.891420	657.761572
-1436	315.645692	651.816471
-1432	317.383867	644.879260
-1428	319.117494	636.422564
-1424	320.861055	631.236196
-1420	322.592042	624.271317
-1416	324.318727	617.364473
-1412	326.043184	612.110187
-1408	327.776308	603.558370
-1404	329.496614	601.980813
