Temp	Magnetization	Heat capacity	Energy
1.000000	0.999234	2.421733E-005	-1.997003
1.035176	0.998982	3.006849E-005	-1.996028
1.070352	0.998669	3.674328E-005	-1.994827
1.105528	0.998288	4.423657E-005	-1.993371
1.140704	0.997829	5.252041E-005	-1.991631
1.175879	0.997285	6.154860E-005	-1.989579
1.211055	0.996647	7.126455E-005	-1.987189
1.246231	0.995907	8.161112E-005	-1.984437
1.281407	0.995057	9.254469E-005	-1.981303
1.316583	0.994089	1.040631E-004	-1.977763
1.351759	0.992993	1.162542E-004	-1.973798
1.386935	0.991759	1.293530E-004	-1.969378
1.422111	0.990371	1.437607E-004	-1.964464
1.457286	0.988809	1.599834E-004	-1.958999
1.492462	0.987044	1.785027E-004	-1.952911
1.527638	0.985043	1.996793E-004	-1.946108
1.562814	0.982765	2.237793E-004	-1.938491
1.597990	0.980163	2.510458E-004	-1.929949
1.633166	0.977184	2.815620E-004	-1.920366
1.668342	0.973775	3.148039E-004	-1.909632
1.703518	0.969888	3.493196E-004	-1.897672
1.738693	0.965497	3.832465E-004	-1.884474
1.773869	0.960592	4.156133E-004	-1.870082
1.809045	0.955160	4.472241E-004	-1.854543
1.844221	0.949157	4.802672E-004	-1.837847
1.879397	0.942490	5.174516E-004	-1.819895
1.914573	0.934996	5.616816E-004	-1.800485
1.949749	0.926429	6.155574E-004	-1.779315
1.984925	0.916469	6.797361E-004	-1.756015
2.020101	0.904742	7.518643E-004	-1.730250
2.055276	0.890814	8.289237E-004	-1.701793
2.090452	0.874079	9.118925E-004	-1.670466
2.125628	0.853511	1.008151E-003	-1.635943
2.160804	0.827307	1.129463E-003	-1.597538
2.195980	0.792391	1.285898E-003	-1.554150
2.231156	0.743955	1.477328E-003	-1.504474
2.266332	0.676043	1.680679E-003	-1.447556
2.301508	0.586019	1.816283E-003	-1.384184
2.336683	0.482854	1.771233E-003	-1.318943
2.371859	0.385649	1.559506E-003	-1.258644
2.407035	0.308136	1.312981E-003	-1.206980
2.442211	0.251920	1.111023E-003	-1.163491
2.477387	0.212438	9.610179E-004	-1.126313
2.512563	0.184533	8.510965E-004	-1.093779
2.547739	0.164273	7.703394E-004	-1.064650
2.582915	0.149029	7.097001E-004	-1.038042
2.618090	0.137145	6.617979E-004	-1.013371
2.653266	0.127601	6.215465E-004	-0.990276
2.688442	0.119758	5.862066E-004	-0.968536
2.723618	0.113197	5.546789E-004	-0.948000
2.758794	0.107614	5.266009E-004	-0.928536
2.793970	0.102778	5.017035E-004	-0.910025
2.829146	0.098512	4.795442E-004	-0.892360
2.864322	0.094686	4.595125E-004	-0.875453
2.899497	0.091211	4.409589E-004	-0.859239
2.934673	0.088035	4.233340E-004	-0.843675
2.969849	0.085124	4.062816E-004	-0.828735
3.005025	0.082460	3.896652E-004	-0.814401
3.040201	0.080026	3.735340E-004	-0.800658
3.075377	0.077803	3.580515E-004	-0.787484
3.110553	0.075772	3.434150E-004	-0.774853
3.145729	0.073910	3.297895E-004	-0.762732
3.180905	0.072194	3.172693E-004	-0.751082
3.216080	0.070605	3.058669E-004	-0.739863
3.251256	0.069123	2.955224E-004	-0.729035
3.286432	0.067735	2.861245E-004	-0.718562
3.321608	0.066429	2.775333E-004	-0.708412
3.356784	0.065196	2.696024E-004	-0.698560
3.391960	0.064031	2.621944E-004	-0.688984
3.427136	0.062928	2.551926E-004	-0.679667
3.462312	0.061883	2.485063E-004	-0.670596
3.497487	0.060894	2.420726E-004	-0.661761
3.532663	0.059956	2.358533E-004	-0.653154
3.567839	0.059066	2.298302E-004	-0.644768
3.603015	0.058221	2.239991E-004	-0.636595
3.638191	0.057418	2.183626E-004	-0.628629
3.673367	0.056652	2.129249E-004	-0.620862
3.708543	0.055920	2.076874E-004	-0.613287
3.743719	0.055220	2.026459E-004	-0.605898
3.778894	0.054549	1.977903E-004	-0.598686
3.814070	0.053903	1.931046E-004	-0.591647
3.849246	0.053282	1.885697E-004	-0.584773
3.884422	0.052684	1.841644E-004	-0.578061
3.919598	0.052106	1.798685E-004	-0.571505
3.954774	0.051549	1.756644E-004	-0.565102
3.989950	0.051012	1.715388E-004	-0.558849
4.025126	0.050494	1.674829E-004	-0.552743
4.060302	0.049994	1.634931E-004	-0.546783
4.095477	0.049513	1.595701E-004	-0.540964
4.130653	0.049049	1.557185E-004	-0.535286
4.165829	0.048604	1.519454E-004	-0.529745
4.201005	0.048175	1.482596E-004	-0.524339
4.236181	0.047764	1.446703E-004	-0.519064
4.271357	0.047370	1.411865E-004	-0.513916
4.306533	0.046992	1.378159E-004	-0.508891
4.341709	0.046630	1.345650E-004	-0.503986
4.376884	0.046284	1.314381E-004	-0.499196
4.412060	0.045952	1.284380E-004	-0.494516
4.447236	0.045636	1.255654E-004	-0.489941
