Energy	ln(density of states)
-1536	0.693147	512.000000
-1532	-33244.590331	0.000000
-1528	-33244.590331	0.000000
-1524	6.934541	510.000000
-1520	-33244.590331	0.000000
-1516	8.081728	508.000000
-1512	12.421434	508.000000
-1508	9.722047	506.000000
-1504	14.336534	505.992970
-1500	17.561006	505.990973
-1496	16.107072	503.980234
-1492	19.718996	503.988529
-1488	22.414308	503.974842
-1484	21.804857	501.953465
-1480	24.835496	501.971193
-1476	26.918306	501.913880
-1472	27.023912	499.954762
-1468	29.623415	499.936646
-1464	31.411073	499.795838
-1460	31.926774	497.937766
-1456	34.193361	497.874024
-1452	35.727571	497.563799
-1448	36.617738	495.870014
-1444	38.602861	495.770337
-1440	39.953798	495.232086
-1436	41.070467	493.810102
-1432	42.860963	493.579616
-1428	44.149599	492.871351
-1424	45.439119	491.679737
-1420	47.026826	491.332980
-1416	48.292985	490.478095
-1412	49.676347	489.480441
-1408	51.115236	489.016155
-1404	52.419908	488.131691
-1400	53.765138	487.245984
-1396	55.160966	486.642576
-1392	56.394411	485.762199
-1388	57.773820	484.957749
-1384	59.077959	484.244048
-1380	60.389390	483.433642
-1376	61.711092	482.601336
-1372	62.998308	481.863316
-1368	64.283113	481.033716
-1364	65.581361	480.253866
-1360	66.884569	479.490913
-1356	68.140657	478.618778
-1352	69.434007	477.863346
-1348	70.682527	477.044141
-1344	71.980455	476.189203
-1340	73.218416	475.445267
-1336	74.466493	474.613024
-1332	75.671846	473.735602
-1328	76.926851	472.914041
-1324	78.173738	472.106239
-1320	79.361787	471.263696
-1316	80.628511	470.438696
-1312	81.831422	469.608313
-1308	83.041978	468.742865
-1304	84.256441	467.986004
-1300	85.464952	467.102266
-1296	86.673494	466.251084
-1292	87.869096	465.451547
-1288	89.050584	464.560139
-1284	90.243928	463.689180
-1280	91.415330	462.846789
-1276	92.587053	461.936102
-1272	93.757371	461.109049
-1268	94.927354	460.246738
-1264	96.113893	459.380701
-1260	97.242326	458.490854
-1256	98.398317	457.602176
-1252	99.566423	456.722142
-1248	100.724763	455.887645
-1244	101.882143	454.996147
-1240	103.021287	453.985286
-1236	104.164323	453.231848
-1232	105.319337	452.256539
-1228	106.467454	451.336770
-1224	107.577074	450.508161
-1220	108.732164	449.553994
-1216	109.863512	448.626933
-1212	110.987611	447.687273
-1208	112.105363	446.776878
-1204	113.219118	445.815179
-1200	114.344560	444.935541
-1196	115.454469	444.000326
-1192	116.549119	443.020897
-1188	117.670747	442.073702
-1184	118.777513	441.175046
-1180	119.847154	440.194696
-1176	120.947557	439.267817
-1172	122.048723	438.347803
-1168	123.142732	437.317315
-1164	124.225084	436.413845
-1160	125.320543	435.439926
-1156	126.404649	434.466528
-1152	127.493715	433.512635
-1148	128.575990	432.556163
-1144	129.636598	431.499561
-1140	130.701570	430.563297
-1136	131.776521	429.609235
-1132	132.837755	428.621613
-1128	133.912599	427.597788
-1124	134.983690	426.541476
-1120	136.037004	425.583885
