Temp	Magnetization	Heat capacity	Energy
1.000000	0.999987	1.837345E-006	-2.999922
1.035176	0.999980	2.578779E-006	-2.999882
1.070352	0.999971	3.531857E-006	-2.999827
1.105528	0.999959	4.731440E-006	-2.999753
1.140704	0.999943	6.212790E-006	-2.999655
1.175879	0.999921	8.010728E-006	-2.999528
1.211055	0.999894	1.015878E-005	-2.999365
1.246231	0.999860	1.268835E-005	-2.999160
1.281407	0.999817	1.562798E-005	-2.998905
1.316583	0.999765	1.900273E-005	-2.998594
1.351759	0.999702	2.283367E-005	-2.998218
1.386935	0.999627	2.713767E-005	-2.997769
1.422111	0.999538	3.192737E-005	-2.997238
1.457286	0.999434	3.721156E-005	-2.996616
1.492462	0.999313	4.299583E-005	-2.995894
1.527638	0.999173	4.928365E-005	-2.995064
1.562814	0.999014	5.607769E-005	-2.994116
1.597990	0.998833	6.338157E-005	-2.993041
1.633166	0.998628	7.120161E-005	-2.991830
1.668342	0.998399	7.954871E-005	-2.990473
1.703518	0.998143	8.843994E-005	-2.988961
1.738693	0.997859	9.789980E-005	-2.987284
1.773869	0.997545	1.079607E-004	-2.985431
1.809045	0.997198	1.186628E-004	-2.983392
1.844221	0.996817	1.300522E-004	-2.981153
1.879397	0.996398	1.421791E-004	-2.978703
1.914573	0.995940	1.550935E-004	-2.976027
1.949749	0.995440	1.688413E-004	-2.973111
1.984925	0.994895	1.834597E-004	-2.969940
2.020101	0.994302	1.989724E-004	-2.966498
2.055276	0.993657	2.153863E-004	-2.962768
2.090452	0.992958	2.326906E-004	-2.958734
2.125628	0.992201	2.508573E-004	-2.954381
2.160804	0.991384	2.698455E-004	-2.949693
2.195980	0.990503	2.896080E-004	-2.944656
2.231156	0.989556	3.100995E-004	-2.939257
2.266332	0.988540	3.312856E-004	-2.933482
2.301508	0.987451	3.531494E-004	-2.927320
2.336683	0.986288	3.756965E-004	-2.920758
2.371859	0.985047	3.989532E-004	-2.913783
2.407035	0.983726	4.229615E-004	-2.906383
2.442211	0.982320	4.477676E-004	-2.898543
2.477387	0.980826	4.734078E-004	-2.890249
2.512563	0.979240	4.998929E-004	-2.881486
2.547739	0.977559	5.271934E-004	-2.872238
2.582915	0.975779	5.552295E-004	-2.862492
2.618090	0.973895	5.838676E-004	-2.852235
2.653266	0.971905	6.129266E-004	-2.841458
2.688442	0.969806	6.421957E-004	-2.830156
2.723618	0.967596	6.714628E-004	-2.818327
2.758794	0.965274	7.005536E-004	-2.805971
2.793970	0.962839	7.293742E-004	-2.793094
2.829146	0.960289	7.579510E-004	-2.779700
2.864322	0.957624	7.864587E-004	-2.765793
2.899497	0.954842	8.152270E-004	-2.751371
2.934673	0.951938	8.447196E-004	-2.736424
2.969849	0.948907	8.754861E-004	-2.720936
3.005025	0.945741	9.080887E-004	-2.704878
3.040201	0.942430	9.430161E-004	-2.688213
3.075377	0.938963	9.805968E-004	-2.670895
3.110553	0.935325	1.020926E-003	-2.652875
3.145729	0.931504	1.063826E-003	-2.634105
3.180905	0.927486	1.108839E-003	-2.614543
3.216080	0.923259	1.155285E-003	-2.594156
3.251256	0.918813	1.202348E-003	-2.572926
3.286432	0.914142	1.249212E-003	-2.550849
3.321608	0.909241	1.295209E-003	-2.527934
3.356784	0.904107	1.339942E-003	-2.504203
3.391960	0.898736	1.383368E-003	-2.479677
3.427136	0.893126	1.425807E-003	-2.454380
3.462312	0.887271	1.467875E-003	-2.428322
3.497487	0.881163	1.510358E-003	-2.401504
3.532663	0.874788	1.554061E-003	-2.373911
3.567839	0.868130	1.599668E-003	-2.345515
3.603015	0.861170	1.647654E-003	-2.316277
3.638191	0.853884	1.698263E-003	-2.286151
3.673367	0.846248	1.751568E-003	-2.255089
3.708543	0.838235	1.807579E-003	-2.223043
3.743719	0.829814	1.866390E-003	-2.189963
3.778894	0.820951	1.928300E-003	-2.155797
3.814070	0.811606	1.993881E-003	-2.120484
3.849246	0.801728	2.063950E-003	-2.083950
3.884422	0.791257	2.139438E-003	-2.046107
3.919598	0.780120	2.221174E-003	-2.006850
3.954774	0.768231	2.309661E-003	-1.966060
3.989950	0.755485	2.404949E-003	-1.923615
4.025126	0.741766	2.506695E-003	-1.879395
4.060302	0.726934	2.614452E-003	-1.833287
4.095477	0.710823	2.728026E-003	-1.785187
4.130653	0.693231	2.847607E-003	-1.734987
4.165829	0.673908	2.973225E-003	-1.682579
4.201005	0.652566	3.103255E-003	-1.627864
4.236181	0.628902	3.232139E-003	-1.570805
4.271357	0.602666	3.348287E-003	-1.511517
4.306533	0.573763	3.433773E-003	-1.450383
4.341709	0.542361	3.467375E-003	-1.388145
4.376884	0.508963	3.430899E-003	-1.325911
4.412060	0.474394	3.316241E-003	-1.265036
4.447236	0.439677	3.129271E-003	-1.206896
4.482412	0.405854	2.888158E-003	-1.152645
4.517588	0.373810	2.617306E-003	-1.103043
4.552764	0.344164	2.340435E-003	-1.058405
4.587940	0.317248	2.075870E-003	-1.018665
4.623116	0.293145	1.834965E-003	-0.983488
4.658291	0.271758	1.622859E-003	-0.952395
4.693467	0.252884	1.440240E-003	-0.924855
4.728643	0.236267	1.285151E-003	-0.900352
4.763819	0.221640	1.154379E-003	-0.878418
4.798995	0.208744	1.044356E-003	-0.858647
4.834171	0.197345	9.516631E-004	-0.840696
4.869347	0.187237	8.732634E-004	-0.824282
4.904523	0.178238	8.065744E-004	-0.809171
4.939698	0.170197	7.494585E-004	-0.795172
4.974874	0.162981	7.001744E-004	-0.782128
5.010050	0.156482	6.573164E-004	-0.769913
5.045226	0.150605	6.197553E-004	-0.758420
5.080402	0.145270	5.865852E-004	-0.747563
5.115578	0.140411	5.570788E-004	-0.737269
5.150754	0.135970	5.306503E-004	-0.727478
5.185930	0.131897	5.068269E-004	-0.718139
5.221106	0.128152	4.852244E-004	-0.709209
5.256281	0.124697	4.655297E-004	-0.700650
5.291457	0.121502	4.474855E-004	-0.692431
5.326633	0.118539	4.308795E-004	-0.684523
5.361809	0.115785	4.155352E-004	-0.676903
5.396985	0.113218	4.013050E-004	-0.669549
5.432161	0.110821	3.880643E-004	-0.662442
5.467337	0.108578	3.757078E-004	-0.655565
5.502513	0.106475	3.641451E-004	-0.648904
5.537688	0.104499	3.532990E-004	-0.642445
5.572864	0.102639	3.431022E-004	-0.636174
5.608040	0.100886	3.334963E-004	-0.630082
5.643216	0.099229	3.244302E-004	-0.624159
5.678392	0.097663	3.158586E-004	-0.618393
5.713568	0.096178	3.077417E-004	-0.612779
5.748744	0.094769	3.000437E-004	-0.607306
5.783920	0.093431	2.927326E-004	-0.601969
5.819095	0.092157	2.857799E-004	-0.596760
5.854271	0.090944	2.791595E-004	-0.591673
5.889447	0.089787	2.728480E-004	-0.586702
5.924623	0.088681	2.668239E-004	-0.581843
5.959799	0.087624	2.610677E-004	-0.577090
5.994975	0.086612	2.555617E-004	-0.572438
6.030151	0.085642	2.502894E-004	-0.567883
6.065327	0.084712	2.452357E-004	-0.563421
6.100503	0.083819	2.403868E-004	-0.559048
6.135678	0.082960	2.357300E-004	-0.554761
6.170854	0.082134	2.312533E-004	-0.550556
6.206030	0.081339	2.269459E-004	-0.546430
6.241206	0.080572	2.227976E-004	-0.542381
6.276382	0.079833	2.187989E-004	-0.538404
6.311558	0.079119	2.149413E-004	-0.534499
6.346734	0.078430	2.112166E-004	-0.530661
6.381910	0.077763	2.076172E-004	-0.526890
6.417085	0.077118	2.041362E-004	-0.523182
6.452261	0.076494	2.007669E-004	-0.519536
6.487437	0.075890	1.975035E-004	-0.515950
6.522613	0.075304	1.943401E-004	-0.512422
6.557789	0.074735	1.912716E-004	-0.508949
6.592965	0.074184	1.882929E-004	-0.505531
6.628141	0.073649	1.853996E-004	-0.502166
6.663317	0.073129	1.825874E-004	-0.498853
6.698492	0.072623	1.798523E-004	-0.495589
6.733668	0.072132	1.771906E-004	-0.492374
6.768844	0.071653	1.745988E-004	-0.489206
6.804020	0.071188	1.720736E-004	-0.486085
6.839196	0.070735	1.696121E-004	-0.483008
6.874372	0.070294	1.672114E-004	-0.479975
6.909548	0.069864	1.648689E-004	-0.476984
6.944724	0.069445	1.625821E-004	-0.474036
6.979899	0.069036	1.603488E-004	-0.471128
7.015075	0.068637	1.581666E-004	-0.468260
7.050251	0.068248	1.560337E-004	-0.465430
7.085427	0.067868	1.539481E-004	-0.462639
7.120603	0.067497	1.519081E-004	-0.459885
7.155779	0.067135	1.499119E-004	-0.457167
7.190955	0.066781	1.479581E-004	-0.454485
7.226131	0.066435	1.460450E-004	-0.451837
7.261307	0.066097	1.441715E-004	-0.449224
7.296482	0.065767	1.423360E-004	-0.446644
7.331658	0.065443	1.405375E-004	-0.444097
7.366834	0.065127	1.387747E-004	-0.441582
7.402010	0.064817	1.370466E-004	-0.439098
7.437186	0.064514	1.353521E-004	-0.436645
7.472362	0.064218	1.336902E-004	-0.434222
7.507538	0.063927	1.320600E-004	-0.431829
7.542714	0.063643	1.304606E-004	-0.429465
7.577889	0.063364	1.288912E-004	-0.427130
7.613065	0.063091	1.273509E-004	-0.424823
7.648241	0.062823	1.258390E-004	-0.422543
7.683417	0.062561	1.243548E-004	-0.420290
7.718593	0.062304	1.228976E-004	-0.418063
7.753769	0.062051	1.214667E-004	-0.415863
7.788945	0.061804	1.200614E-004	-0.413688
7.824121	0.061561	1.186812E-004	-0.411538
7.859296	0.061323	1.173254E-004	-0.409413
7.894472	0.061090	1.159935E-004	-0.407312
7.929648	0.060860	1.146849E-004	-0.405234
7.964824	0.060635	1.133991E-004	-0.403181
8.000000	0.060414	1.121356E-004	-0.401150
