Sample	Temp	Count
0	1.000000	0
1	1.045226	0
2	1.090452	0
3	1.135678	0
4	1.180905	0
5	1.226131	0
6	1.271357	0
7	1.316583	0
8	1.361809	0
9	1.407035	0
10	1.452261	0
11	1.497487	0
12	1.542714	0
13	1.587940	0
14	1.633166	0
15	1.678392	0
16	1.723618	0
17	1.768844	0
18	1.814070	0
19	1.859296	0
20	1.904523	0
21	1.949749	0
22	1.994975	0
23	2.040201	0
24	2.085427	0
25	2.130653	0
26	2.175879	0
27	2.221106	0
28	2.266332	0
29	2.311558	0
30	2.356784	0
31	2.402010	0
32	2.447236	0
33	2.492462	0
34	2.537688	0
35	2.582915	0
36	2.628141	0
37	2.673367	0
38	2.718593	0
39	2.763819	0
40	2.809045	0
41	2.854271	0
42	2.899497	0
43	2.944724	0
44	2.989950	0
45	3.035176	0
46	3.080402	0
47	3.125628	0
48	3.170854	0
49	3.216080	0
50	3.261307	0
51	3.306533	0
52	3.351759	0
53	3.396985	0
54	3.442211	0
55	3.487437	0
56	3.532663	0
57	3.577889	0
58	3.623116	0
59	3.668342	0
60	3.713568	0
61	3.758794	0
62	3.804020	0
63	3.849246	0
64	3.894472	0
65	3.939698	0
66	3.984925	0
67	4.030151	0
68	4.075377	0
69	4.120603	0
70	4.165829	0
71	4.211055	0
72	4.256281	0
73	4.301508	0
74	4.346734	0
75	4.391960	0
76	4.437186	0
77	4.482412	0
78	4.527638	0
79	4.572864	0
80	4.618090	0
81	4.663317	0
82	4.708543	0
83	4.753769	0
84	4.798995	0
85	4.844221	0
86	4.889447	0
87	4.934673	0
88	4.979899	0
89	5.025126	0
90	5.070352	0
91	5.115578	0
92	5.160804	0
93	5.206030	0
94	5.251256	0
95	5.296482	0
96	5.341709	0
97	5.386935	0
98	5.432161	0
99	5.477387	0
100	5.522613	0
101	5.567839	0
102	5.613065	0
103	5.658291	0
104	5.703518	0
105	5.748744	0
106	5.793970	0
107	5.839196	0
108	5.884422	0
109	5.929648	0
110	5.974874	0
111	6.020101	0
112	6.065327	0
113	6.110553	0
114	6.155779	0
115	6.201005	0
116	6.246231	0
117	6.291457	0
118	6.336683	0
119	6.381910	0
120	6.427136	0
121	6.472362	1
122	6.517588	0
123	6.562814	0
124	6.608040	0
125	6.653266	0
126	6.698492	0
127	6.743719	0
128	6.788945	0
129	6.834171	0
130	6.879397	0
131	6.924623	0
132	6.969849	0
133	7.015075	0
134	7.060302	0
135	7.105528	0
136	7.150754	0
137	7.195980	0
138	7.241206	0
139	7.286432	0
140	7.331658	0
141	7.376884	0
142	7.422111	0
143	7.467337	0
144	7.512563	0
145	7.557789	0
146	7.603015	0
147	7.648241	0
148	7.693467	0
149	7.738693	0
150	7.783920	0
151	7.829146	0
152	7.874372	0
153	7.919598	0
154	7.964824	0
155	8.010050	0
156	8.055276	0
157	8.100503	0
158	8.145729	0
159	8.190955	0
160	8.236181	0
161	8.281407	0
162	8.326633	0
163	8.371859	0
164	8.417085	0
165	8.462312	0
166	8.507538	0
167	8.552764	0
168	8.597990	0
169	8.643216	0
170	8.688442	0
171	8.733668	0
172	8.778894	0
173	8.824121	0
174	8.869347	0
175	8.914573	0
176	8.959799	0
177	9.005025	0
178	9.050251	0
179	9.095477	0
180	9.140704	0
181	9.185930	0
182	9.231156	0
183	9.276382	0
184	9.321608	0
185	9.366834	0
186	9.412060	0
187	9.457286	0
188	9.502513	0
189	9.547739	0
190	9.592965	0
191	9.638191	0
192	9.683417	0
193	9.728643	0
194	9.773869	0
195	9.819095	0
196	9.864322	0
197	9.909548	0
198	9.954774	0
199	10.000000	0
