Energy	ln(density of states)
-16384	0.693147	4094.000000
-16380	-148914.687590	0.000000
-16376	-148914.687590	0.000000
-16372	-148914.687590	0.000000
-16368	8.483766	4092.000000
-16364	-148914.687590	0.000000
-16360	-148914.687590	0.000000
-16356	10.414293	4090.000000
-16352	15.716386	4090.000000
-16348	-148914.687590	0.000000
-16344	12.492616	4088.000000
-16340	18.125597	4088.000000
-16336	22.483140	4088.000000
-16332	14.504045	4086.000000
-16328	20.379549	4086.000000
-16324	25.218629	4086.000000
-16320	29.265230	4086.000000
-16316	22.617723	4084.000000
-16312	27.811174	4084.000000
-16308	32.167772	4084.000000
-16304	35.698915	4083.998479
-16300	30.223634	4082.000000
-16296	34.762483	4082.000000
-16292	38.892137	4082.000000
-16288	42.006944	4081.997702
-16284	37.400484	4080.000000
-16280	41.653490	4080.000000
-16276	45.405427	4080.000000
-16272	48.090578	4080.000000
-16268	44.213808	4078.000000
-16264	48.170259	4078.000000
-16260	51.692079	4078.000000
-16256	54.199907	4078.000000
-16252	50.994600	4076.000000
-16248	54.621629	4076.000000
-16244	57.844636	4076.000000
-16240	60.234651	4075.998731
-16236	57.422136	4074.000000
-16232	60.933855	4074.000000
-16228	63.898561	4074.000000
-16224	66.291749	4073.986948
-16220	63.734972	4072.000000
-16216	67.161546	4072.000000
-16212	69.974824	4071.999769
-16208	71.882875	4071.980152
-16204	69.934450	4070.000000
-16200	73.191347	4070.000000
-16196	75.728853	4069.995900
-16192	77.543428	4069.983904
-16188	76.112215	4067.997929
-16184	79.112688	4067.999623
-16180	81.518999	4067.989541
-16176	83.240922	4067.981445
-16172	82.112154	4065.993618
-16168	84.909334	4065.998721
-16164	87.233629	4065.988922
-16160	88.752473	4065.961771
-16156	88.079668	4063.997989
-16152	90.616334	4063.996302
-16148	92.870866	4063.989894
-16144	94.289827	4063.932988
-16140	93.960435	4061.998769
-16136	96.325014	4061.991857
-16132	98.391466	4061.982482
-16128	99.692949	4061.873726
-16124	99.548738	4059.997573
-16120	101.932207	4059.982412
-16116	103.820192	4059.968207
-16112	105.067537	4059.829444
-16108	105.256380	4057.987498
-16104	107.515886	4057.972009
-16100	109.258790	4057.944452
-16096	110.413164	4057.783682
-16092	110.875444	4055.984941
-16088	112.940919	4055.965641
-16084	114.596162	4055.918128
-16080	115.684419	4055.675565
-16076	116.370790	4053.978105
-16072	118.406877	4053.944550
-16068	119.987718	4053.881057
-16064	120.959581	4053.543230
-16060	121.796358	4051.966597
-16056	123.725969	4051.936582
-16052	125.225435	4051.844740
-16048	126.251146	4051.385114
-16044	127.188798	4049.967155
-16040	129.015611	4049.916528
-16036	130.459016	4049.794912
-16032	131.436571	4049.206407
-16028	132.485704	4047.955511
