Temp	Magnetization	Heat capacity	Energy
1.000000	0.999512	4.152628E-009	-3.999999
1.045226	0.999511	7.596955E-009	-3.999998
1.090452	0.999511	1.317315E-008	-3.999996
1.135678	0.999511	2.179432E-008	-3.999993
1.180905	0.999510	3.459665E-008	-3.999988
1.226131	0.999509	5.294760E-008	-3.999980
1.271357	0.999508	7.844725E-008	-3.999968
1.316583	0.999505	1.129252E-007	-3.999950
1.361809	0.999502	1.584355E-007	-3.999925
1.407035	0.999498	2.172530E-007	-3.999891
1.452261	0.999492	2.918720E-007	-3.999844
1.497487	0.999484	3.850095E-007	-3.999781
1.542714	0.999474	4.996104E-007	-3.999700
1.587940	0.999461	6.388545E-007	-3.999595
1.633166	0.999444	8.061642E-007	-3.999461
1.678392	0.999423	1.005219E-006	-3.999294
1.723618	0.999397	1.239996E-006	-3.999087
1.768844	0.999365	1.514869E-006	-3.998832
1.814070	0.999327	1.834807E-006	-3.998523
1.859296	0.999280	2.205721E-006	-3.998149
1.904523	0.999224	2.634932E-006	-3.997702
1.949749	0.999157	3.131642E-006	-3.997169
1.994975	0.999077	3.707144E-006	-3.996537
2.040201	0.998983	4.374347E-006	-3.995790
2.085427	0.998873	5.146247E-006	-3.994910
2.130653	0.998742	6.033352E-006	-3.993876
2.175879	0.998590	7.040905E-006	-3.992667
2.221106	0.998413	8.167720E-006	-3.991260
2.266332	0.998207	9.408515E-006	-3.989634
2.311558	0.997972	1.075940E-005	-3.987767
2.356784	0.997703	1.222176E-005	-3.985640
2.402010	0.997398	1.379696E-005	-3.983232
2.447236	0.997054	1.546905E-005	-3.980523
2.492462	0.996671	1.718747E-005	-3.977498
2.537688	0.996247	1.887348E-005	-3.974157
2.582915	0.995783	2.046314E-005	-3.970512
2.628141	0.995283	2.196210E-005	-3.966581
2.673367	0.994747	2.346327E-005	-3.962375
2.718593	0.994173	2.510643E-005	-3.957880
2.763819	0.993555	2.701186E-005	-3.953057
2.809045	0.992888	2.923394E-005	-3.947852
2.854271	0.992163	3.174603E-005	-3.942208
2.899497	0.991374	3.443940E-005	-3.936079
2.944724	0.990518	3.713586E-005	-3.929448
2.989950	0.989598	3.964614E-005	-3.922332
3.035176	0.988620	4.187788E-005	-3.914777
3.080402	0.987588	4.391176E-005	-3.906829
3.125628	0.986505	4.595291E-005	-3.898508
3.170854	0.985368	4.818841E-005	-3.889792
3.216080	0.984171	5.068346E-005	-3.880638
