Sample	Temp	Count
0	2.200000	0
1	2.201508	0
2	2.203015	0
3	2.204523	0
4	2.206030	0
5	2.207538	1
6	2.209045	0
7	2.210553	0
8	2.212060	0
9	2.213568	1
10	2.215075	0
11	2.216583	0
12	2.218090	1
13	2.219598	0
14	2.221106	0
15	2.222613	0
16	2.224121	1
17	2.225628	2
18	2.227136	0
19	2.228643	1
20	2.230151	2
21	2.231658	0
22	2.233166	2
23	2.234673	1
24	2.236181	2
25	2.237688	2
26	2.239196	1
27	2.240704	4
28	2.242211	7
29	2.243719	3
30	2.245226	5
31	2.246734	6
32	2.248241	6
33	2.249749	3
34	2.251256	6
35	2.252764	12
36	2.254271	8
37	2.255779	6
38	2.257286	11
39	2.258794	11
40	2.260302	9
41	2.261809	7
42	2.263317	6
43	2.264824	15
44	2.266332	11
45	2.267839	16
46	2.269347	8
47	2.270854	9
48	2.272362	16
49	2.273869	10
50	2.275377	12
51	2.276884	13
52	2.278392	19
53	2.279899	20
54	2.281407	16
55	2.282915	16
56	2.284422	19
57	2.285930	16
58	2.287437	16
59	2.288945	21
60	2.290452	28
61	2.291960	26
62	2.293467	19
63	2.294975	21
64	2.296482	15
65	2.297990	27
66	2.299497	16
67	2.301005	21
68	2.302513	17
69	2.304020	21
70	2.305528	20
71	2.307035	23
72	2.308543	19
73	2.310050	15
74	2.311558	26
75	2.313065	10
76	2.314573	14
77	2.316080	12
78	2.317588	17
79	2.319095	12
80	2.320603	18
81	2.322111	10
82	2.323618	11
83	2.325126	9
84	2.326633	13
85	2.328141	13
86	2.329648	9
87	2.331156	7
88	2.332663	9
89	2.334171	10
90	2.335678	3
91	2.337186	7
92	2.338693	11
93	2.340201	11
94	2.341709	7
95	2.343216	3
96	2.344724	7
97	2.346231	7
98	2.347739	9
99	2.349246	8
100	2.350754	2
101	2.352261	4
102	2.353769	7
103	2.355276	5
104	2.356784	5
105	2.358291	1
106	2.359799	6
107	2.361307	6
108	2.362814	1
109	2.364322	3
110	2.365829	2
111	2.367337	0
112	2.368844	1
113	2.370352	3
114	2.371859	0
115	2.373367	3
116	2.374874	2
117	2.376382	1
118	2.377889	1
119	2.379397	0
120	2.380905	0
121	2.382412	1
122	2.383920	0
123	2.385427	0
124	2.386935	1
125	2.388442	0
126	2.389950	0
127	2.391457	0
128	2.392965	1
129	2.394472	0
130	2.395980	2
131	2.397487	0
132	2.398995	0
133	2.400503	0
134	2.402010	0
135	2.403518	0
136	2.405025	0
137	2.406533	0
138	2.408040	0
139	2.409548	1
140	2.411055	0
141	2.412563	0
142	2.414070	0
143	2.415578	0
144	2.417085	0
145	2.418593	0
146	2.420101	0
147	2.421608	0
148	2.423116	0
149	2.424623	0
150	2.426131	0
151	2.427638	0
152	2.429146	0
153	2.430653	0
154	2.432161	0
155	2.433668	0
156	2.435176	0
157	2.436683	0
158	2.438191	0
159	2.439698	0
160	2.441206	0
161	2.442714	0
162	2.444221	0
163	2.445729	0
164	2.447236	0
165	2.448744	0
166	2.450251	0
167	2.451759	0
168	2.453266	0
169	2.454774	0
170	2.456281	0
171	2.457789	0
172	2.459296	0
173	2.460804	0
174	2.462312	0
175	2.463819	0
176	2.465327	0
177	2.466834	0
178	2.468342	0
179	2.469849	0
180	2.471357	0
181	2.472864	0
182	2.474372	0
183	2.475879	0
184	2.477387	0
185	2.478894	0
186	2.480402	0
187	2.481910	0
188	2.483417	0
189	2.484925	0
190	2.486432	0
191	2.487940	0
192	2.489447	0
193	2.490955	0
194	2.492462	0
195	2.493970	0
196	2.495477	0
197	2.496985	0
198	2.498492	0
199	2.500000	0
