Energy	ln(density of states)
-3000	0.693147	1000.000000
-2996	-38203.552947	0.000000
-2992	-38203.552947	0.000000
-2988	8.917757	998.000000
-2984	-38203.552947	0.000000
-2980	11.439241	996.000000
-2976	16.034944	996.000000
-2972	11.824007	994.000000
-2968	17.782991	993.992426
-2964	21.536897	994.000000
-2960	18.511507	992.000000
-2956	23.216585	991.998580
-2952	27.648225	991.994368
-2948	26.421663	990.000000
-2944	30.116975	989.992491
-2940	33.085725	989.984274
-2936	32.189241	987.990141
-2932	35.738069	987.963460
-2928	37.447053	987.910276
-2924	38.210725	985.983341
-2920	41.001741	985.935060
-2916	42.734163	985.788091
-2912	43.490022	983.969671
-2908	46.085725	983.910209
-2904	48.415803	983.710405
-2900	49.609163	981.923829
-2896	51.341585	981.835797
-2892	53.775178	981.549613
-2888	54.449007	979.919237
-2884	56.667757	979.824194
-2880	57.984163	979.372966
-2876	59.355257	977.894654
-2872	62.183382	977.637832
-2868	62.993928	977.044557
-2864	64.468538	975.851968
-2860	66.702913	975.529686
-2856	68.204866	974.800472
-2852	69.849397	973.744196
-2848	71.107210	973.276325
-2844	72.517366	972.444176
-2840	74.306428	971.444247
-2836	75.597444	971.069541
-2832	77.197053	970.141483
-2828	78.700960	969.286245
-2824	80.101350	968.727974
-2820	81.503694	967.880131
-2816	82.913850	967.110597
-2812	84.126741	966.440765
-2808	85.624788	965.573138
-2804	86.552522	964.911642
-2800	88.216585	964.127006
-2796	89.544710	963.339315
-2792	91.538850	962.597664
-2788	92.695100	961.946998
-2784	94.007600	961.132315
-2780	95.507600	960.313927
-2776	96.937288	959.643877
-2772	98.568147	958.767249
-2768	100.005647	958.026101
-2764	101.058382	957.287637
-2760	102.991975	956.569177
-2756	103.827913	955.776954
-2752	105.550569	954.913036
-2748	106.820100	954.294505
-2744	108.120882	953.458711
-2740	109.333772	952.586336
-2736	110.937288	951.980498
-2732	111.911897	951.161814
-2728	113.839632	950.301696
-2724	115.087678	949.613552
-2720	115.984163	948.669134
-2716	117.786897	948.081775
-2712	119.013460	947.228690
-2708	120.181428	946.464615
-2704	121.710725	945.702534
-2700	122.990022	944.915657
-2696	124.240022	944.235936
-2692	126.058382	943.408385
-2688	127.191194	942.694453
-2684	128.156038	941.859185
-2680	129.652132	940.968521
-2676	130.952913	940.158395
-2672	132.577913	939.344656
-2668	133.767366	938.451235
-2664	135.109163	937.751630
-2660	136.531038	936.962482
-2656	137.290803	935.975225
-2652	139.132600	935.227780
-2648	140.515413	934.543762
-2644	141.802522	933.479786
-2640	143.132600	932.911024
-2636	144.329866	932.168457
-2632	145.952913	931.374143
-2628	146.907991	930.419048
-2624	148.304475	929.804491
-2620	149.599397	928.966584
-2616	150.976350	928.072692
-2612	152.335725	927.081169
-2608	153.782991	926.353585
-2604	154.974397	925.531996
-2600	156.482210	924.613890
-2596	157.515413	923.804240
-2592	158.624788	922.777184
-2588	160.159944	922.050121
-2584	161.044710	921.085476
-2580	162.851350	920.363545
-2576	164.230257	919.583744
-2572	165.300569	918.679128
-2568	166.484163	917.740713
-2564	167.902132	917.047449
-2560	168.970491	916.344897
-2556	170.450960	915.386016
-2552	171.581819	914.670711
-2548	172.700960	913.978144
-2544	173.993928	912.817389
-2540	175.240022	912.058558
-2536	176.771272	911.195991
-2532	177.618928	910.357951
-2528	178.552522	909.549351
-2524	180.241975	908.584878
-2520	181.034944	907.672484
-2516	182.228303	906.802468
-2512	183.757600	905.995372
-2508	184.874788	905.038982
-2504	186.269319	904.330491
-2500	187.171663	903.372621
-2496	188.378694	902.402397
-2492	189.632600	901.295764
-2488	190.775178	900.665996
-2484	192.161897	899.862203
-2480	193.111116	898.860396
-2476	194.488069	897.978806
-2472	195.322053	897.215659
