Temp	Magnetization	Heat capacity	Energy
2.250000	0.787692	1.743370E-002	-1.509075
2.251005	0.787025	1.744952E-002	-1.507953
2.252010	0.786357	1.746521E-002	-1.506830
2.253015	0.785688	1.748075E-002	-1.505706
2.254020	0.785018	1.749616E-002	-1.504581
2.255025	0.784346	1.751142E-002	-1.503455
2.256030	0.783674	1.752655E-002	-1.502329
2.257035	0.783000	1.754154E-002	-1.501201
2.258040	0.782325	1.755639E-002	-1.500072
2.259045	0.781649	1.757109E-002	-1.498942
2.260050	0.780971	1.758566E-002	-1.497812
2.261055	0.780293	1.760008E-002	-1.496680
2.262060	0.779613	1.761435E-002	-1.495547
2.263065	0.778932	1.762849E-002	-1.494414
2.264070	0.778250	1.764248E-002	-1.493280
2.265075	0.777567	1.765632E-002	-1.492144
2.266080	0.776883	1.767002E-002	-1.491008
2.267085	0.776198	1.768358E-002	-1.489871
2.268090	0.775512	1.769698E-002	-1.488733
2.269095	0.774824	1.771024E-002	-1.487595
2.270101	0.774136	1.772335E-002	-1.486455
2.271106	0.773446	1.773632E-002	-1.485315
2.272111	0.772755	1.774913E-002	-1.484173
2.273116	0.772063	1.776180E-002	-1.483031
2.274121	0.771370	1.777432E-002	-1.481889
2.275126	0.770676	1.778669E-002	-1.480745
2.276131	0.769981	1.779890E-002	-1.479600
2.277136	0.769285	1.781097E-002	-1.478455
2.278141	0.768588	1.782288E-002	-1.477309
2.279146	0.767890	1.783465E-002	-1.476162
2.280151	0.767191	1.784626E-002	-1.475015
2.281156	0.766491	1.785771E-002	-1.473867
2.282161	0.765789	1.786902E-002	-1.472718
2.283166	0.765087	1.788017E-002	-1.471568
2.284171	0.764384	1.789117E-002	-1.470417
2.285176	0.763680	1.790201E-002	-1.469266
2.286181	0.762974	1.791270E-002	-1.468114
2.287186	0.762268	1.792323E-002	-1.466962
2.288191	0.761561	1.793361E-002	-1.465809
2.289196	0.760853	1.794383E-002	-1.464655
2.290201	0.760144	1.795389E-002	-1.463500
2.291206	0.759433	1.796380E-002	-1.462345
2.292211	0.758722	1.797355E-002	-1.461189
2.293216	0.758010	1.798314E-002	-1.460033
2.294221	0.757297	1.799258E-002	-1.458876
2.295226	0.756584	1.800186E-002	-1.457718
2.296231	0.755869	1.801098E-002	-1.456560
2.297236	0.755153	1.801994E-002	-1.455401
2.298241	0.754436	1.802874E-002	-1.454242
2.299246	0.753719	1.803738E-002	-1.453082
2.300251	0.753000	1.804587E-002	-1.451922
2.301256	0.752281	1.805419E-002	-1.450761
2.302261	0.751561	1.806235E-002	-1.449599
2.303266	0.750840	1.807036E-002	-1.448437
2.304271	0.750118	1.807820E-002	-1.447275
2.305276	0.749395	1.808588E-002	-1.446111
2.306281	0.748672	1.809340E-002	-1.444948
2.307286	0.747947	1.810076E-002	-1.443784
2.308291	0.747222	1.810796E-002	-1.442619
2.309296	0.746496	1.811500E-002	-1.441454
2.310302	0.745769	1.812187E-002	-1.440289
2.311307	0.745041	1.812859E-002	-1.439123
2.312312	0.744312	1.813514E-002	-1.437957
2.313317	0.743583	1.814153E-002	-1.436790
2.314322	0.742853	1.814775E-002	-1.435623
2.315327	0.742122	1.815382E-002	-1.434456
2.316332	0.741390	1.815972E-002	-1.433288
2.317337	0.740658	1.816545E-002	-1.432120
2.318342	0.739924	1.817103E-002	-1.430951
2.319347	0.739190	1.817644E-002	-1.429782
2.320352	0.738456	1.818169E-002	-1.428613
2.321357	0.737720	1.818677E-002	-1.427443
2.322362	0.736984	1.819169E-002	-1.426273
2.323367	0.736247	1.819645E-002	-1.425103
2.324372	0.735509	1.820105E-002	-1.423932
2.325377	0.734771	1.820548E-002	-1.422761
2.326382	0.734032	1.820974E-002	-1.421590
2.327387	0.733292	1.821385E-002	-1.420419
2.328392	0.732552	1.821778E-002	-1.419247
2.329397	0.731811	1.822156E-002	-1.418075
2.330402	0.731069	1.822517E-002	-1.416903
2.331407	0.730327	1.822862E-002	-1.415731
2.332412	0.729584	1.823190E-002	-1.414558
2.333417	0.728840	1.823502E-002	-1.413385
2.334422	0.728096	1.823798E-002	-1.412212
2.335427	0.727351	1.824077E-002	-1.411039
2.336432	0.726605	1.824339E-002	-1.409866
2.337437	0.725859	1.824586E-002	-1.408692
2.338442	0.725113	1.824816E-002	-1.407518
2.339447	0.724365	1.825030E-002	-1.406345
2.340452	0.723617	1.825227E-002	-1.405171
2.341457	0.722869	1.825408E-002	-1.403997
2.342462	0.722120	1.825572E-002	-1.402822
2.343467	0.721370	1.825721E-002	-1.401648
2.344472	0.720620	1.825852E-002	-1.400474
2.345477	0.719869	1.825968E-002	-1.399299
2.346482	0.719118	1.826067E-002	-1.398125
2.347487	0.718366	1.826150E-002	-1.396950
2.348492	0.717614	1.826217E-002	-1.395776
2.349497	0.716861	1.826268E-002	-1.394601
2.350503	0.716108	1.826302E-002	-1.393426
2.351508	0.715354	1.826320E-002	-1.392252
2.352513	0.714600	1.826321E-002	-1.391077
2.353518	0.713845	1.826307E-002	-1.389902
2.354523	0.713090	1.826276E-002	-1.388727
2.355528	0.712335	1.826230E-002	-1.387553
2.356533	0.711578	1.826167E-002	-1.386378
2.357538	0.710822	1.826088E-002	-1.385203
2.358543	0.710065	1.825992E-002	-1.384029
2.359548	0.709308	1.825881E-002	-1.382854
2.360553	0.708550	1.825754E-002	-1.381680
2.361558	0.707792	1.825611E-002	-1.380506
2.362563	0.707033	1.825451E-002	-1.379332
2.363568	0.706274	1.825276E-002	-1.378157
2.364573	0.705515	1.825085E-002	-1.376983
2.365578	0.704755	1.824878E-002	-1.375810
2.366583	0.703995	1.824654E-002	-1.374636
2.367588	0.703234	1.824415E-002	-1.373462
2.368593	0.702474	1.824161E-002	-1.372289
2.369598	0.701712	1.823890E-002	-1.371116
2.370603	0.700951	1.823604E-002	-1.369943
2.371608	0.700189	1.823302E-002	-1.368770
2.372613	0.699427	1.822984E-002	-1.367597
2.373618	0.698665	1.822650E-002	-1.366425
2.374623	0.697902	1.822301E-002	-1.365252
2.375628	0.697139	1.821936E-002	-1.364080
2.376633	0.696376	1.821556E-002	-1.362909
2.377638	0.695612	1.821160E-002	-1.361737
2.378643	0.694848	1.820749E-002	-1.360566
2.379648	0.694084	1.820322E-002	-1.359395
2.380653	0.693320	1.819879E-002	-1.358224
2.381658	0.692555	1.819422E-002	-1.357054
2.382663	0.691791	1.818949E-002	-1.355883
2.383668	0.691026	1.818460E-002	-1.354714
2.384673	0.690260	1.817957E-002	-1.353544
2.385678	0.689495	1.817438E-002	-1.352375
2.386683	0.688729	1.816904E-002	-1.351206
2.387688	0.687964	1.816355E-002	-1.350038
2.388693	0.687198	1.815790E-002	-1.348869
2.389698	0.686431	1.815211E-002	-1.347702
2.390704	0.685665	1.814617E-002	-1.346534
2.391709	0.684899	1.814008E-002	-1.345367
2.392714	0.684132	1.813383E-002	-1.344201
2.393719	0.683365	1.812744E-002	-1.343035
2.394724	0.682599	1.812090E-002	-1.341869
2.395729	0.681832	1.811422E-002	-1.340703
2.396734	0.681064	1.810738E-002	-1.339539
2.397739	0.680297	1.810040E-002	-1.338374
2.398744	0.679530	1.809328E-002	-1.337210
2.399749	0.678763	1.808601E-002	-1.336046
2.400754	0.677995	1.807859E-002	-1.334883
2.401759	0.677228	1.807103E-002	-1.333721
2.402764	0.676460	1.806332E-002	-1.332559
2.403769	0.675692	1.805547E-002	-1.331397
2.404774	0.674925	1.804748E-002	-1.330236
2.405779	0.674157	1.803934E-002	-1.329075
2.406784	0.673389	1.803106E-002	-1.327915
2.407789	0.672621	1.802265E-002	-1.326756
2.408794	0.671854	1.801409E-002	-1.325597
2.409799	0.671086	1.800539E-002	-1.324438
2.410804	0.670318	1.799655E-002	-1.323281
2.411809	0.669550	1.798757E-002	-1.322123
2.412814	0.668782	1.797845E-002	-1.320967
2.413819	0.668015	1.796920E-002	-1.319810
2.414824	0.667247	1.795980E-002	-1.318655
2.415829	0.666479	1.795027E-002	-1.317500
2.416834	0.665712	1.794061E-002	-1.316346
2.417839	0.664944	1.793081E-002	-1.315192
2.418844	0.664177	1.792087E-002	-1.314039
2.419849	0.663409	1.791080E-002	-1.312887
2.420854	0.662642	1.790060E-002	-1.311735
2.421859	0.661875	1.789026E-002	-1.310584
2.422864	0.661108	1.787979E-002	-1.309434
2.423869	0.660341	1.786919E-002	-1.308284
2.424874	0.659574	1.785845E-002	-1.307135
2.425879	0.658807	1.784759E-002	-1.305986
2.426884	0.658040	1.783660E-002	-1.304839
2.427889	0.657274	1.782548E-002	-1.303692
2.428894	0.656507	1.781422E-002	-1.302546
2.429899	0.655741	1.780284E-002	-1.301400
2.430905	0.654975	1.779134E-002	-1.300256
2.431910	0.654209	1.777971E-002	-1.299112
2.432915	0.653443	1.776795E-002	-1.297968
2.433920	0.652678	1.775606E-002	-1.296826
2.434925	0.651913	1.774405E-002	-1.295684
2.435930	0.651147	1.773192E-002	-1.294543
2.436935	0.650382	1.771966E-002	-1.293403
2.437940	0.649618	1.770729E-002	-1.292264
2.438945	0.648853	1.769479E-002	-1.291125
2.439950	0.648089	1.768216E-002	-1.289987
2.440955	0.647325	1.766942E-002	-1.288850
2.441960	0.646561	1.765656E-002	-1.287714
2.442965	0.645798	1.764358E-002	-1.286579
2.443970	0.645034	1.763048E-002	-1.285445
2.444975	0.644271	1.761726E-002	-1.284311
2.445980	0.643509	1.760393E-002	-1.283178
2.446985	0.642746	1.759048E-002	-1.282046
2.447990	0.641984	1.757692E-002	-1.280915
2.448995	0.641222	1.756324E-002	-1.279785
2.450000	0.640461	1.754944E-002	-1.278656
