Sample	Beta	Count
0	0.410000	0
1	0.410201	0
2	0.410402	0
3	0.410603	0
4	0.410804	0
5	0.411005	0
6	0.411206	0
7	0.411407	0
8	0.411608	0
9	0.411809	0
10	0.412010	0
11	0.412211	0
12	0.412412	0
13	0.412613	0
14	0.412814	0
15	0.413015	0
16	0.413216	0
17	0.413417	0
18	0.413618	0
19	0.413819	0
20	0.414020	0
21	0.414221	0
22	0.414422	0
23	0.414623	0
24	0.414824	0
25	0.415025	0
26	0.415226	0
27	0.415427	0
28	0.415628	0
29	0.415829	0
30	0.416030	0
31	0.416231	0
32	0.416432	0
33	0.416633	0
34	0.416834	0
35	0.417035	0
36	0.417236	0
37	0.417437	0
38	0.417638	0
39	0.417839	0
40	0.418040	0
41	0.418241	0
42	0.418442	0
43	0.418643	0
44	0.418844	0
45	0.419045	0
46	0.419246	0
47	0.419447	0
48	0.419648	0
49	0.419849	0
50	0.420050	0
51	0.420251	0
52	0.420452	0
53	0.420653	0
54	0.420854	0
55	0.421055	0
56	0.421256	0
57	0.421457	0
58	0.421658	0
59	0.421859	0
60	0.422060	0
61	0.422261	0
62	0.422462	0
63	0.422663	0
64	0.422864	0
65	0.423065	0
66	0.423266	0
67	0.423467	0
68	0.423668	0
69	0.423869	0
70	0.424070	0
71	0.424271	0
72	0.424472	0
73	0.424673	0
74	0.424874	0
75	0.425075	0
76	0.425276	1
77	0.425477	2
78	0.425678	1
79	0.425879	5
80	0.426080	4
81	0.426281	6
82	0.426482	11
83	0.426683	15
84	0.426884	18
85	0.427085	23
86	0.427286	33
87	0.427487	36
88	0.427688	47
89	0.427889	50
90	0.428090	73
91	0.428291	89
92	0.428492	128
93	0.428693	120
94	0.428894	170
95	0.429095	163
96	0.429296	220
97	0.429497	226
98	0.429698	249
99	0.429899	315
100	0.430101	328
101	0.430302	362
102	0.430503	383
103	0.430704	383
104	0.430905	456
105	0.431106	392
106	0.431307	451
107	0.431508	436
108	0.431709	460
109	0.431910	431
110	0.432111	395
111	0.432312	404
112	0.432513	374
113	0.432714	322
114	0.432915	320
115	0.433116	309
116	0.433317	248
117	0.433518	239
118	0.433719	231
119	0.433920	193
120	0.434121	160
121	0.434322	160
122	0.434523	100
123	0.434724	78
124	0.434925	84
125	0.435126	63
126	0.435327	54
127	0.435528	44
128	0.435729	35
129	0.435930	26
130	0.436131	18
131	0.436332	13
132	0.436533	14
133	0.436734	11
134	0.436935	5
135	0.437136	2
136	0.437337	5
137	0.437538	0
138	0.437739	3
139	0.437940	1
140	0.438141	1
141	0.438342	0
142	0.438543	0
143	0.438744	0
144	0.438945	1
145	0.439146	0
146	0.439347	0
147	0.439548	0
148	0.439749	0
149	0.439950	0
150	0.440151	0
151	0.440352	0
152	0.440553	0
153	0.440754	0
154	0.440955	0
155	0.441156	0
156	0.441357	0
157	0.441558	0
158	0.441759	0
159	0.441960	0
160	0.442161	0
161	0.442362	0
162	0.442563	0
163	0.442764	0
164	0.442965	0
165	0.443166	0
166	0.443367	0
167	0.443568	0
168	0.443769	0
169	0.443970	0
170	0.444171	0
171	0.444372	0
172	0.444573	0
173	0.444774	0
174	0.444975	0
175	0.445176	0
176	0.445377	0
177	0.445578	0
178	0.445779	0
179	0.445980	0
180	0.446181	0
181	0.446382	0
182	0.446583	0
183	0.446784	0
184	0.446985	0
185	0.447186	0
186	0.447387	0
187	0.447588	0
188	0.447789	0
189	0.447990	0
190	0.448191	0
191	0.448392	0
192	0.448593	0
193	0.448794	0
194	0.448995	0
195	0.449196	0
196	0.449397	0
197	0.449598	0
198	0.449799	0
199	0.450000	0
