Sample	Beta	Count
0	0.410000	0
1	0.410201	0
2	0.410402	0
3	0.410603	0
4	0.410804	0
5	0.411005	0
6	0.411206	0
7	0.411407	0
8	0.411608	0
9	0.411809	0
10	0.412010	0
11	0.412211	0
12	0.412412	0
13	0.412613	0
14	0.412814	0
15	0.413015	0
16	0.413216	0
17	0.413417	0
18	0.413618	0
19	0.413819	0
20	0.414020	0
21	0.414221	1
22	0.414422	0
23	0.414623	0
24	0.414824	0
25	0.415025	1
26	0.415226	1
27	0.415427	0
28	0.415628	0
29	0.415829	0
30	0.416030	1
31	0.416231	1
32	0.416432	1
33	0.416633	0
34	0.416834	1
35	0.417035	1
36	0.417236	1
37	0.417437	1
38	0.417638	3
39	0.417839	2
40	0.418040	3
41	0.418241	0
42	0.418442	5
43	0.418643	3
44	0.418844	2
45	0.419045	7
46	0.419246	3
47	0.419447	3
48	0.419648	5
49	0.419849	6
50	0.420050	5
51	0.420251	6
52	0.420452	7
53	0.420653	10
54	0.420854	9
55	0.421055	11
56	0.421256	15
57	0.421457	14
58	0.421658	31
59	0.421859	23
60	0.422060	17
61	0.422261	28
62	0.422462	23
63	0.422663	25
64	0.422864	28
65	0.423065	27
66	0.423266	36
67	0.423467	36
68	0.423668	39
69	0.423869	35
70	0.424070	38
71	0.424271	56
72	0.424472	49
73	0.424673	51
74	0.424874	44
75	0.425075	60
76	0.425276	78
77	0.425477	76
78	0.425678	75
79	0.425879	78
80	0.426080	82
81	0.426281	90
82	0.426482	61
83	0.426683	94
84	0.426884	101
85	0.427085	100
86	0.427286	108
87	0.427487	105
88	0.427688	131
89	0.427889	114
90	0.428090	127
91	0.428291	118
92	0.428492	116
93	0.428693	128
94	0.428894	135
95	0.429095	127
96	0.429296	148
97	0.429497	151
98	0.429698	147
99	0.429899	151
100	0.430101	165
101	0.430302	149
102	0.430503	158
103	0.430704	186
104	0.430905	170
105	0.431106	201
106	0.431307	171
107	0.431508	189
108	0.431709	181
109	0.431910	178
110	0.432111	155
111	0.432312	177
112	0.432513	173
113	0.432714	158
114	0.432915	191
115	0.433116	147
116	0.433317	158
117	0.433518	158
118	0.433719	167
119	0.433920	143
120	0.434121	161
121	0.434322	144
122	0.434523	137
123	0.434724	135
124	0.434925	138
125	0.435126	140
126	0.435327	148
127	0.435528	128
128	0.435729	134
129	0.435930	120
130	0.436131	104
131	0.436332	109
132	0.436533	104
133	0.436734	101
134	0.436935	99
135	0.437136	94
136	0.437337	83
137	0.437538	52
138	0.437739	94
139	0.437940	70
140	0.438141	74
141	0.438342	57
142	0.438543	65
143	0.438744	50
144	0.438945	52
145	0.439146	43
146	0.439347	50
147	0.439548	39
148	0.439749	55
149	0.439950	22
150	0.440151	43
151	0.440352	34
152	0.440553	34
153	0.440754	43
154	0.440955	27
155	0.441156	28
156	0.441357	16
157	0.441558	18
158	0.441759	14
159	0.441960	12
160	0.442161	14
161	0.442362	10
162	0.442563	14
163	0.442764	13
164	0.442965	16
165	0.443166	5
166	0.443367	7
167	0.443568	8
168	0.443769	4
169	0.443970	3
170	0.444171	3
171	0.444372	3
172	0.444573	3
173	0.444774	3
174	0.444975	4
175	0.445176	7
176	0.445377	3
177	0.445578	4
178	0.445779	4
179	0.445980	2
180	0.446181	1
181	0.446382	0
182	0.446583	0
183	0.446784	1
184	0.446985	1
185	0.447186	1
186	0.447387	0
187	0.447588	0
188	0.447789	1
189	0.447990	0
190	0.448191	0
191	0.448392	0
192	0.448593	1
193	0.448794	0
194	0.448995	0
195	0.449196	1
196	0.449397	0
197	0.449598	0
198	0.449799	0
199	0.450000	1
