Sample	Beta	Count
0	0.000000	0
1	0.002513	0
2	0.005025	0
3	0.007538	0
4	0.010050	0
5	0.012563	0
6	0.015075	0
7	0.017588	0
8	0.020101	0
9	0.022613	0
10	0.025126	0
11	0.027638	0
12	0.030151	0
13	0.032663	0
14	0.035176	0
15	0.037688	0
16	0.040201	0
17	0.042714	0
18	0.045226	0
19	0.047739	0
20	0.050251	0
21	0.052764	0
22	0.055276	0
23	0.057789	0
24	0.060302	0
25	0.062814	0
26	0.065327	0
27	0.067839	0
28	0.070352	0
29	0.072864	0
30	0.075377	0
31	0.077889	0
32	0.080402	0
33	0.082915	0
34	0.085427	0
35	0.087940	0
36	0.090452	0
37	0.092965	0
38	0.095477	0
39	0.097990	0
40	0.100503	0
41	0.103015	0
42	0.105528	0
43	0.108040	0
44	0.110553	0
45	0.113065	0
46	0.115578	0
47	0.118090	0
48	0.120603	0
49	0.123116	0
50	0.125628	0
51	0.128141	0
52	0.130653	0
53	0.133166	0
54	0.135678	0
55	0.138191	0
56	0.140704	0
57	0.143216	0
58	0.145729	0
59	0.148241	0
60	0.150754	0
61	0.153266	0
62	0.155779	0
63	0.158291	0
64	0.160804	0
65	0.163317	0
66	0.165829	0
67	0.168342	0
68	0.170854	0
69	0.173367	0
70	0.175879	0
71	0.178392	0
72	0.180905	0
73	0.183417	0
74	0.185930	0
75	0.188442	0
76	0.190955	0
77	0.193467	0
78	0.195980	0
79	0.198492	0
80	0.201005	0
81	0.203518	0
82	0.206030	0
83	0.208543	0
84	0.211055	0
85	0.213568	0
86	0.216080	0
87	0.218593	0
88	0.221106	0
89	0.223618	0
90	0.226131	0
91	0.228643	1
92	0.231156	0
93	0.233668	0
94	0.236181	0
95	0.238693	0
96	0.241206	0
97	0.243719	0
98	0.246231	0
99	0.248744	0
100	0.251256	0
101	0.253769	0
102	0.256281	0
103	0.258794	0
104	0.261307	0
105	0.263819	0
106	0.266332	0
107	0.268844	0
108	0.271357	0
109	0.273869	0
110	0.276382	0
111	0.278894	0
112	0.281407	0
113	0.283920	0
114	0.286432	0
115	0.288945	0
116	0.291457	0
117	0.293970	0
118	0.296482	0
119	0.298995	0
120	0.301508	0
121	0.304020	0
122	0.306533	0
123	0.309045	0
124	0.311558	0
125	0.314070	0
126	0.316583	0
127	0.319095	0
128	0.321608	0
129	0.324121	0
130	0.326633	0
131	0.329146	0
132	0.331658	0
133	0.334171	0
134	0.336683	0
135	0.339196	0
136	0.341709	0
137	0.344221	0
138	0.346734	0
139	0.349246	0
140	0.351759	0
141	0.354271	0
142	0.356784	0
143	0.359296	0
144	0.361809	0
145	0.364322	0
146	0.366834	0
147	0.369347	0
148	0.371859	0
149	0.374372	0
150	0.376884	0
151	0.379397	0
152	0.381910	0
153	0.384422	0
154	0.386935	0
155	0.389447	0
156	0.391960	0
157	0.394472	0
158	0.396985	0
159	0.399497	0
160	0.402010	0
161	0.404523	0
162	0.407035	0
163	0.409548	0
164	0.412060	0
165	0.414573	0
166	0.417085	0
167	0.419598	0
168	0.422111	0
169	0.424623	0
170	0.427136	0
171	0.429648	0
172	0.432161	0
173	0.434673	0
174	0.437186	0
175	0.439698	0
176	0.442211	0
177	0.444724	0
178	0.447236	0
179	0.449749	0
180	0.452261	0
181	0.454774	0
182	0.457286	0
183	0.459799	0
184	0.462312	0
185	0.464824	0
186	0.467337	0
187	0.469849	0
188	0.472362	0
189	0.474874	0
190	0.477387	0
191	0.479899	0
192	0.482412	0
193	0.484925	0
194	0.487437	0
195	0.489950	0
196	0.492462	0
197	0.494975	0
198	0.497487	0
199	0.500000	0
