Energy	ln(density of states)
-512	0.693147
-508	-10551.439635
-504	6.271547
-500	6.987810
-496	11.168275
-492	12.581483
-488	15.656175
-484	17.401720
-480	20.015123
-476	21.940507
-472	24.290025
-468	26.285615
-464	28.476305
-460	30.445131
-456	32.505891
-452	34.466051
-448	36.454896
-444	38.410188
-440	40.360948
-436	42.287935
-432	44.191698
-428	46.104173
-424	48.016969
-420	49.869401
-416	51.714189
-412	53.523439
-408	55.345216
-404	57.152803
-400	58.963396
-396	60.742601
-392	62.545534
-388	64.324342
-384	66.071138
-380	67.841783
-376	69.561433
-372	71.305284
-368	73.064928
-364	74.812242
-360	76.519685
-356	78.239870
-352	79.949617
-348	81.677385
-344	83.393251
-340	85.087236
-336	86.786806
-332	88.494676
-328	90.188615
-324	91.857255
-320	93.530778
-316	95.230760
-312	96.908113
-308	98.569398
-304	100.221757
-300	101.859193
-296	103.470552
-292	105.107164
-288	106.734346
-284	108.360200
-280	109.957719
-276	111.545335
-272	113.126710
-268	114.688692
-264	116.263597
-260	117.812471
-256	119.318590
-252	120.838686
-248	122.356264
-244	123.852815
-240	125.303071
-236	126.746873
-232	128.169786
-228	129.591539
-224	131.000917
-220	132.394289
-216	133.774004
-212	135.142030
-208	136.482820
-204	137.811464
-200	139.122972
-196	140.418901
-192	141.703004
-188	142.962572
-184	144.198625
-180	145.414308
-176	146.619295
-172	147.801363
-168	148.951662
-164	150.107530
-160	151.219102
-156	152.314561
-152	153.388704
-148	154.420259
-144	155.473299
-140	156.466066
-136	157.454790
-132	158.411378
-128	159.357545
-124	160.256563
-120	161.147050
-116	162.013231
-112	162.845918
-108	163.649858
-104	164.448289
-100	165.192796
-96	165.928529
-92	166.636980
-88	167.312608
-84	167.968385
-80	168.582551
-76	169.167070
-72	169.725023
-68	170.263093
-64	170.778596
-60	171.251894
-56	171.688203
-52	172.095354
-48	172.491823
-44	172.835313
-40	173.164949
-36	173.461488
-32	173.728181
-28	173.970933
-24	174.174684
-20	174.353075
-16	174.497179
-12	174.596254
-8	174.664308
-4	174.709871
0	174.723573
4	174.708559
8	174.671937
12	174.584474
16	174.479188
20	174.332521
24	174.158357
28	173.971300
32	173.738405
36	173.476945
40	173.185884
44	172.863801
48	172.504762
52	172.107500
56	171.695650
60	171.237871
64	170.757585
68	170.257921
72	169.727891
76	169.155336
80	168.572816
84	167.951189
88	167.301317
92	166.632387
96	165.921434
100	165.190828
104	164.441316
108	163.651048
112	162.848421
116	162.001070
120	161.147279
124	160.269914
128	159.373415
132	158.439592
136	157.496553
140	156.508592
144	155.504915
148	154.471193
152	153.433473
156	152.376482
160	151.287904
164	150.169374
168	149.025758
172	147.865846
176	146.704454
180	145.519365
184	144.298006
188	143.081331
192	141.825258
196	140.564760
200	139.282655
204	137.963121
208	136.637025
212	135.280458
216	133.905641
220	132.530580
224	131.124971
228	129.717439
232	128.303331
236	126.846803
240	125.413927
244	123.950075
248	122.457109
252	120.970064
256	119.452150
260	117.914430
264	116.391252
268	114.844545
272	113.260652
276	111.674806
280	110.082170
284	108.463930
288	106.854143
292	105.226732
296	103.549791
300	101.932603
304	100.274232
308	98.608110
312	96.894426
316	95.172197
320	93.434068
324	91.714418
328	89.960329
332	88.218034
336	86.468248
340	84.688188
344	82.931840
348	81.158952
352	79.367464
356	77.563798
360	75.751344
364	73.934770
368	72.105745
372	70.231676
376	68.381776
380	66.495592
384	64.589967
388	62.650270
392	60.703660
396	58.749834
400	56.760759
404	54.749361
408	52.745683
412	50.670351
416	48.592378
420	46.478624
424	44.344026
428	42.127122
432	39.892229
436	37.619035
440	35.312456
444	32.991914
448	30.532228
452	28.017717
456	25.418947
460	22.704835
464	19.757219
468	16.629655
472	13.170167
476	-10551.439635
480	-10551.439635
484	-10551.439635
488	-10551.439635
492	-10551.439635
496	-10551.439635
500	-10551.439635
504	-10551.439635
508	-10551.439635
512	-10551.439635
