Beta	 Magnetization	Heat capacity	Energy	Energy^2
0.410000	0.438413	0.004876	-1.195581	1.458421
0.410201	0.439980	0.004893	-1.197076	1.462068
0.410402	0.441552	0.004910	-1.198574	1.465729
0.410603	0.443129	0.004926	-1.200076	1.469402
0.410804	0.444711	0.004943	-1.201581	1.473088
0.411005	0.446299	0.004960	-1.203090	1.476787
0.411206	0.447891	0.004977	-1.204603	1.480499
0.411407	0.449489	0.004993	-1.206119	1.484224
0.411608	0.451091	0.005010	-1.207639	1.487961
0.411809	0.452699	0.005026	-1.209162	1.491711
0.412010	0.454312	0.005043	-1.210689	1.495474
0.412211	0.455929	0.005059	-1.212219	1.499250
0.412412	0.457551	0.005075	-1.213753	1.503038
0.412613	0.459178	0.005092	-1.215290	1.506839
0.412814	0.460810	0.005108	-1.216831	1.510652
0.413015	0.462446	0.005124	-1.218375	1.514477
0.413216	0.464087	0.005140	-1.219923	1.518316
0.413417	0.465733	0.005156	-1.221473	1.522166
0.413618	0.467383	0.005172	-1.223027	1.526029
0.413819	0.469037	0.005188	-1.224585	1.529904
0.414020	0.470695	0.005204	-1.226145	1.533791
0.414221	0.472358	0.005220	-1.227709	1.537690
0.414422	0.474025	0.005235	-1.229276	1.541601
0.414623	0.475697	0.005251	-1.230846	1.545525
0.414824	0.477372	0.005266	-1.232419	1.549460
0.415025	0.479051	0.005281	-1.233996	1.553407
0.415226	0.480734	0.005297	-1.235575	1.557366
0.415427	0.482421	0.005312	-1.237157	1.561337
0.415628	0.484112	0.005327	-1.238742	1.565319
0.415829	0.485807	0.005342	-1.240331	1.569313
0.416030	0.487505	0.005357	-1.241922	1.573318
0.416231	0.489206	0.005371	-1.243516	1.577335
0.416432	0.490912	0.005386	-1.245112	1.581363
0.416633	0.492620	0.005400	-1.246712	1.585402
0.416834	0.494332	0.005415	-1.248314	1.589453
0.417035	0.496047	0.005429	-1.249919	1.593514
0.417236	0.497765	0.005443	-1.251527	1.597587
0.417437	0.499487	0.005457	-1.253137	1.601670
0.417638	0.501211	0.005471	-1.254750	1.605764
0.417839	0.502939	0.005485	-1.256365	1.609869
0.418040	0.504669	0.005498	-1.257983	1.613984
0.418241	0.506402	0.005512	-1.259603	1.618110
0.418442	0.508137	0.005525	-1.261226	1.622246
0.418643	0.509875	0.005538	-1.262851	1.626392
0.418844	0.511616	0.005551	-1.264478	1.630549
0.419045	0.513359	0.005564	-1.266107	1.634716
0.419246	0.515104	0.005577	-1.267739	1.638892
0.419447	0.516852	0.005590	-1.269373	1.643079
0.419648	0.518602	0.005602	-1.271009	1.647275
0.419849	0.520354	0.005614	-1.272647	1.651481
0.420050	0.522107	0.005627	-1.274287	1.655696
0.420251	0.523863	0.005639	-1.275929	1.659920
0.420452	0.525620	0.005650	-1.277572	1.664154
0.420653	0.527379	0.005662	-1.279218	1.668397
0.420854	0.529140	0.005674	-1.280865	1.672649
0.421055	0.530902	0.005685	-1.282515	1.676910
0.421256	0.532666	0.005696	-1.284165	1.681179
0.421457	0.534431	0.005707	-1.285818	1.685457
0.421658	0.536197	0.005718	-1.287472	1.689744
0.421859	0.537964	0.005728	-1.289128	1.694039
0.422060	0.539732	0.005739	-1.290785	1.698342
