Sample	Beta	Count
0	0.300000	0
1	0.301005	0
2	0.302010	0
3	0.303015	0
4	0.304020	0
5	0.305025	0
6	0.306030	0
7	0.307035	0
8	0.308040	0
9	0.309045	0
10	0.310050	0
11	0.311055	0
12	0.312060	0
13	0.313065	0
14	0.314070	0
15	0.315075	0
16	0.316080	0
17	0.317085	0
18	0.318090	0
19	0.319095	0
20	0.320101	0
21	0.321106	0
22	0.322111	0
23	0.323116	0
24	0.324121	0
25	0.325126	0
26	0.326131	0
27	0.327136	0
28	0.328141	0
29	0.329146	0
30	0.330151	0
31	0.331156	0
32	0.332161	0
33	0.333166	0
34	0.334171	0
35	0.335176	0
36	0.336181	0
37	0.337186	0
38	0.338191	0
39	0.339196	0
40	0.340201	0
41	0.341206	0
42	0.342211	0
43	0.343216	0
44	0.344221	0
45	0.345226	0
46	0.346231	0
47	0.347236	0
48	0.348241	0
49	0.349246	0
50	0.350251	0
51	0.351256	0
52	0.352261	0
53	0.353266	0
54	0.354271	0
55	0.355276	0
56	0.356281	0
57	0.357286	0
58	0.358291	0
59	0.359296	0
60	0.360302	0
61	0.361307	0
62	0.362312	0
63	0.363317	0
64	0.364322	0
65	0.365327	0
66	0.366332	0
67	0.367337	0
68	0.368342	0
69	0.369347	0
70	0.370352	0
71	0.371357	0
72	0.372362	0
73	0.373367	0
74	0.374372	0
75	0.375377	0
76	0.376382	0
77	0.377387	0
78	0.378392	0
79	0.379397	0
80	0.380402	0
81	0.381407	0
82	0.382412	0
83	0.383417	0
84	0.384422	0
85	0.385427	0
86	0.386432	0
87	0.387437	0
88	0.388442	0
89	0.389447	0
90	0.390452	0
91	0.391457	0
92	0.392462	0
93	0.393467	0
94	0.394472	0
95	0.395477	0
96	0.396482	0
97	0.397487	0
98	0.398492	0
99	0.399497	0
100	0.400503	0
101	0.401508	0
102	0.402513	0
103	0.403518	0
104	0.404523	0
105	0.405528	0
106	0.406533	0
107	0.407538	0
108	0.408543	0
109	0.409548	0
110	0.410553	0
111	0.411558	0
112	0.412563	0
113	0.413568	0
114	0.414573	0
115	0.415578	0
116	0.416583	0
117	0.417588	0
118	0.418593	0
119	0.419598	0
120	0.420603	0
121	0.421608	0
122	0.422613	0
123	0.423618	0
124	0.424623	0
125	0.425628	0
126	0.426633	0
127	0.427638	0
128	0.428643	0
129	0.429648	0
130	0.430653	0
131	0.431658	0
132	0.432663	0
133	0.433668	0
134	0.434673	1
135	0.435678	0
136	0.436683	0
137	0.437688	0
138	0.438693	0
139	0.439698	0
140	0.440704	0
141	0.441709	0
142	0.442714	0
143	0.443719	0
144	0.444724	0
145	0.445729	0
146	0.446734	0
147	0.447739	0
148	0.448744	0
149	0.449749	0
150	0.450754	0
151	0.451759	0
152	0.452764	0
153	0.453769	0
154	0.454774	0
155	0.455779	0
156	0.456784	0
157	0.457789	0
158	0.458794	0
159	0.459799	0
160	0.460804	0
161	0.461809	0
162	0.462814	0
163	0.463819	0
164	0.464824	0
165	0.465829	0
166	0.466834	0
167	0.467839	0
168	0.468844	0
169	0.469849	0
170	0.470854	0
171	0.471859	0
172	0.472864	0
173	0.473869	0
174	0.474874	0
175	0.475879	0
176	0.476884	0
177	0.477889	0
178	0.478894	0
179	0.479899	0
180	0.480905	0
181	0.481910	0
182	0.482915	0
183	0.483920	0
184	0.484925	0
185	0.485930	0
186	0.486935	0
187	0.487940	0
188	0.488945	0
189	0.489950	0
190	0.490955	0
191	0.491960	0
192	0.492965	0
193	0.493970	0
194	0.494975	0
195	0.495980	0
196	0.496985	0
197	0.497990	0
198	0.498995	0
199	0.500000	0
