Energy	ln(density of states)
-512	0.693147
-508	-10753.372771
-504	6.249544
-500	6.912019
-496	11.039705
-492	12.359651
-488	15.558382
-484	17.095857
-480	19.695955
-476	21.578767
-472	23.870027
-468	25.951448
-464	28.152986
-460	30.138582
-456	32.292879
-452	34.209260
-448	36.309846
-444	38.201692
-440	40.059846
-436	42.028230
-432	43.908723
-428	45.747591
-424	47.731111
-420	49.590730
-416	51.439851
-412	53.304231
-408	55.110017
-404	56.915437
-400	58.719636
-396	60.457674
-392	62.289217
-388	64.046541
-384	65.845613
-380	67.553133
-376	69.358552
-372	71.110872
-368	72.897859
-364	74.647249
-360	76.443025
-356	78.192537
-352	79.923006
-348	81.579744
-344	83.321321
-340	85.018220
-336	86.788484
-332	88.425935
-328	90.102205
-324	91.814729
-320	93.482820
-316	95.132844
-312	96.930452
-308	98.500032
-304	100.101350
-300	101.725496
-296	103.375642
-292	105.031770
-288	106.573884
-284	108.228181
-280	109.859407
-276	111.412141
-272	113.049104
-268	114.572908
-264	116.164217
-260	117.704988
-256	119.288606
-252	120.802766
-248	122.309968
-244	123.793367
-240	125.288728
-236	126.738069
-232	128.166902
-228	129.601106
-224	130.970369
-220	132.380525
-216	133.755281
-212	135.140779
-208	136.457918
-204	137.804719
-200	139.089021
-196	140.348787
-192	141.629304
-188	142.863313
-184	144.088899
-180	145.331453
-176	146.507356
-172	147.700716
-168	148.813386
-164	149.927644
-160	151.042634
-156	152.122346
-152	153.195955
-148	154.240388
-144	155.268098
-140	156.301179
-136	157.292024
-132	158.272737
-128	159.174470
-124	160.082429
-120	160.992464
-116	161.864900
-112	162.747102
-108	163.588655
-104	164.365877
-100	165.140901
-96	165.856721
-92	166.545930
-88	167.215486
-84	167.870393
-80	168.535066
-76	169.119295
-72	169.666170
-68	170.197786
-64	170.738557
-60	171.231111
-56	171.676546
-52	172.104890
-48	172.469270
-44	172.802644
-40	173.106111
-36	173.423128
-32	173.673738
-28	173.907503
-24	174.125886
-20	174.273103
-16	174.426301
-12	174.526887
-8	174.584138
-4	174.611970
0	174.604768
4	174.600740
8	174.558992
12	174.498567
16	174.398103
20	174.264070
24	174.099763
28	173.888826
32	173.622835
36	173.369173
40	173.098787
44	172.763826
48	172.422151
52	171.977449
56	171.531648
60	171.108919
64	170.622957
68	170.089998
72	169.541536
76	168.958894
80	168.350618
84	167.738069
88	167.074739
92	166.389925
96	165.678865
100	164.950471
104	164.195222
108	163.413972
112	162.635896
116	161.776399
120	160.930818
124	160.053621
128	159.162263
132	158.260164
136	157.281282
140	156.296541
144	155.297029
148	154.290559
152	153.289583
156	152.192781
160	151.115144
164	149.937776
168	148.826326
172	147.667146
176	146.495027
180	145.333894
184	144.121004
188	142.904207
192	141.750520
196	140.456941
200	139.199983
204	137.940462
208	136.610994
212	135.255403
216	133.977937
220	132.548860
224	131.166414
228	129.728548
232	128.284212
236	126.854280
240	125.348054
244	123.936800
248	122.414339
252	120.929231
256	119.469759
260	117.944612
264	116.376131
268	114.811189
272	113.255525
276	111.687654
280	110.044954
284	108.450593
288	106.867830
292	105.291902
296	103.620149
300	102.000398
304	100.322908
308	98.650911
312	97.003572
316	95.245271
320	93.519929
324	91.744539
328	90.013704
332	88.258455
336	86.543977
340	84.826082
344	83.047029
348	81.284334
352	79.498201
356	77.697420
360	75.944124
364	74.134431
368	72.252473
372	70.443025
376	68.671785
380	66.794221
384	64.917146
388	63.057039
392	61.157869
396	59.192293
400	57.185701
404	55.205110
408	53.137483
412	51.078767
416	48.938631
420	46.803010
424	44.700716
428	42.581575
432	40.316560
436	38.088167
440	35.727205
444	33.436067
448	31.000764
452	28.344514
456	25.758699
460	23.117464
464	20.128572
468	16.982942
472	13.293977
476	-10753.372771
480	-10753.372771
484	-10753.372771
488	-10753.372771
492	-10753.372771
496	-10753.372771
500	-10753.372771
504	-10753.372771
508	-10753.372771
512	-10753.372771
